dataset,split_mode,model,seed,bucket,brier,uncertainty,reliability,resolution,n_events
junyi_bkt_test,learner_based,bkt,42,medium,0.6429942418426103,0.22955264679985707,0.4134415950427533,0.0,6597
junyi_bkt_test,learner_based,bkt,42,sparse,0.5919923736892279,0.24153740318302147,0.3504549705062064,0.0,9902
junyi_bkt_test,learner_based,bkt,42,very_sparse,0.5396825396825397,0.24773242630385486,0.2999909812409812,0.008040867862296432,1264
junyi_bkt_test,temporal,bkt,2024,medium,0.6539017341040463,0.22564235357011594,0.42860224512021444,0.00034286458628415763,5780
junyi_bkt_test,temporal,bkt,2024,sparse,0.5833956619296934,0.24253721115101012,0.3410195889070293,0.00016113812834614292,10589
junyi_bkt_test,temporal,bkt,2024,very_sparse,0.5657894736842105,0.24457063711911356,0.3231522956326988,0.0019334590676018154,1391
junyi_bkt_test,temporal,bkt,2025,medium,0.6539017341040463,0.22564235357011594,0.42860224512021444,0.00034286458628415763,5780
junyi_bkt_test,temporal,bkt,2025,sparse,0.5833956619296934,0.24253721115101012,0.3410195889070293,0.00016113812834614292,10589
junyi_bkt_test,temporal,bkt,2025,very_sparse,0.5657894736842105,0.24457063711911356,0.3231522956326988,0.0019334590676018154,1391
junyi_bkt_test,temporal,bkt,42,medium,0.6539017341040463,0.22564235357011594,0.42860224512021444,0.00034286458628415763,5780
junyi_bkt_test,temporal,bkt,42,sparse,0.5833956619296934,0.24253721115101012,0.3410195889070293,0.00016113812834614292,10589
junyi_bkt_test,temporal,bkt,42,very_sparse,0.5657894736842105,0.24457063711911356,0.3231522956326988,0.0019334590676018154,1391
