dataset,split,fold,bucket,n_kcs
assist2012,learner_based,0,dense,147
assist2012,learner_based,0,medium,68
assist2012,learner_based,0,sparse,39
assist2012,learner_based,0,very_sparse,11
assist2012,learner_based,1,dense,148
assist2012,learner_based,1,medium,67
assist2012,learner_based,1,sparse,39
assist2012,learner_based,1,very_sparse,11
assist2012,learner_based,2,dense,145
assist2012,learner_based,2,medium,70
assist2012,learner_based,2,sparse,38
assist2012,learner_based,2,very_sparse,12
assist2012,temporal,0,dense,145
assist2012,temporal,0,medium,35
assist2012,temporal,0,sparse,35
assist2012,temporal,0,very_sparse,50
assist_bkt_test,learner_based,0,dense,12
assist_bkt_test,learner_based,0,medium,58
assist_bkt_test,learner_based,0,sparse,55
assist_bkt_test,learner_based,0,very_sparse,113
assist_bkt_test,learner_based,1,dense,11
assist_bkt_test,learner_based,1,medium,59
assist_bkt_test,learner_based,1,sparse,55
assist_bkt_test,learner_based,1,very_sparse,113
assist_bkt_test,learner_based,2,dense,12
assist_bkt_test,learner_based,2,medium,59
assist_bkt_test,learner_based,2,sparse,54
assist_bkt_test,learner_based,2,very_sparse,113
assist_bkt_test,temporal,0,dense,13
assist_bkt_test,temporal,0,medium,50
assist_bkt_test,temporal,0,sparse,53
assist_bkt_test,temporal,0,very_sparse,122
assist_gpu_test,learner_based,0,dense,12
assist_gpu_test,learner_based,0,medium,58
assist_gpu_test,learner_based,0,sparse,55
assist_gpu_test,learner_based,0,very_sparse,113
assist_gpu_test,learner_based,1,dense,11
assist_gpu_test,learner_based,1,medium,59
assist_gpu_test,learner_based,1,sparse,55
assist_gpu_test,learner_based,1,very_sparse,113
assist_gpu_test,learner_based,2,dense,12
assist_gpu_test,learner_based,2,medium,59
assist_gpu_test,learner_based,2,sparse,54
assist_gpu_test,learner_based,2,very_sparse,113
assist_gpu_test,temporal,0,dense,13
assist_gpu_test,temporal,0,medium,50
assist_gpu_test,temporal,0,sparse,53
assist_gpu_test,temporal,0,very_sparse,122
junyi_bkt_test,learner_based,0,medium,153
junyi_bkt_test,learner_based,0,sparse,726
junyi_bkt_test,learner_based,0,very_sparse,430
junyi_bkt_test,learner_based,1,medium,152
junyi_bkt_test,learner_based,1,sparse,722
junyi_bkt_test,learner_based,1,very_sparse,435
junyi_bkt_test,learner_based,2,dense,1
junyi_bkt_test,learner_based,2,medium,154
junyi_bkt_test,learner_based,2,sparse,714
junyi_bkt_test,learner_based,2,very_sparse,440
junyi_bkt_test,temporal,0,medium,142
junyi_bkt_test,temporal,0,sparse,766
junyi_bkt_test,temporal,0,very_sparse,401
xes_bkt_test,learner_based,0,dense,13
xes_bkt_test,learner_based,0,medium,119
xes_bkt_test,learner_based,0,sparse,212
xes_bkt_test,learner_based,0,very_sparse,369
xes_bkt_test,learner_based,1,dense,14
xes_bkt_test,learner_based,1,medium,117
xes_bkt_test,learner_based,1,sparse,223
xes_bkt_test,learner_based,1,very_sparse,359
xes_bkt_test,learner_based,2,dense,14
xes_bkt_test,learner_based,2,medium,117
xes_bkt_test,learner_based,2,sparse,221
xes_bkt_test,learner_based,2,very_sparse,361
xes_bkt_test,temporal,0,dense,16
xes_bkt_test,temporal,0,medium,104
xes_bkt_test,temporal,0,sparse,181
xes_bkt_test,temporal,0,very_sparse,412
xes_dkt_test,learner_based,0,dense,13
xes_dkt_test,learner_based,0,medium,119
xes_dkt_test,learner_based,0,sparse,212
xes_dkt_test,learner_based,0,very_sparse,369
xes_dkt_test,learner_based,1,dense,14
xes_dkt_test,learner_based,1,medium,117
xes_dkt_test,learner_based,1,sparse,223
xes_dkt_test,learner_based,1,very_sparse,359
xes_dkt_test,learner_based,2,dense,14
xes_dkt_test,learner_based,2,medium,117
xes_dkt_test,learner_based,2,sparse,221
xes_dkt_test,learner_based,2,very_sparse,361
xes_dkt_test,temporal,0,dense,16
xes_dkt_test,temporal,0,medium,104
xes_dkt_test,temporal,0,sparse,181
xes_dkt_test,temporal,0,very_sparse,412
xes_simplekt_test,learner_based,0,dense,13
xes_simplekt_test,learner_based,0,medium,119
xes_simplekt_test,learner_based,0,sparse,212
xes_simplekt_test,learner_based,0,very_sparse,369
xes_simplekt_test,learner_based,1,dense,14
xes_simplekt_test,learner_based,1,medium,117
xes_simplekt_test,learner_based,1,sparse,223
xes_simplekt_test,learner_based,1,very_sparse,359
xes_simplekt_test,learner_based,2,dense,14
xes_simplekt_test,learner_based,2,medium,117
xes_simplekt_test,learner_based,2,sparse,221
xes_simplekt_test,learner_based,2,very_sparse,361
xes_simplekt_test,temporal,0,dense,16
xes_simplekt_test,temporal,0,medium,104
xes_simplekt_test,temporal,0,sparse,181
xes_simplekt_test,temporal,0,very_sparse,412
