dataset,split,model,seed,bucket,rel_flag,n_events,ece,brier,unc,rel,res
assist2012,learner_based,irt_1pl,42,dense,R,528018,0.0034345766972815,0.2101764693499811,0.2101646730328915,1.179631708950932e-05,0.0
assist2012,learner_based,irt_1pl,42,medium,R,5677,0.1539655409063073,0.271925579407428,0.2482201916208563,0.0237053877865717,0.0
assist2012,learner_based,irt_1pl,42,sparse,L,444,0.1398470098333989,0.2663867860294832,0.2468295998701404,0.0195571861593427,0.0
assist2012,learner_based,irt_1pl,42,very_sparse,I,11,0.2416078615942506,0.3063082430816672,0.2479338842975206,0.0583743587841466,0.0
assist2012,learner_based,irt_1pl,2024,dense,R,536699,0.0024535079455111,0.2105469778502884,0.2105409581490497,6.019701238686272e-06,0.0
assist2012,learner_based,irt_1pl,2024,medium,R,5597,0.1466093608525431,0.2690361151792647,0.2475418104896734,0.0214943046895912,0.0
assist2012,learner_based,irt_1pl,2024,sparse,L,443,0.1092820438562967,0.2543896603812326,0.242447095271823,0.0119425651094095,0.0
assist2012,learner_based,irt_1pl,2024,very_sparse,I,9,0.3628561597328958,0.3538868148783269,0.2222222222222222,0.1316645926561048,0.0
assist2012,learner_based,irt_1pl,2025,dense,R,521974,0.0035496453638377,0.2100959323355107,0.2100833323533017,1.2599982209014675e-05,0.0
assist2012,learner_based,irt_1pl,2025,medium,R,6280,0.1785667558996754,0.2815736750585281,0.2496875887459937,0.0318860863125342,0.0
assist2012,learner_based,irt_1pl,2025,sparse,L,407,0.0377652566586858,0.226311363328569,0.2248851487180725,0.0014262146104964,0.0
assist2012,learner_based,irt_1pl,2025,very_sparse,I,20,0.3462419151353443,0.3473834637965911,0.2274999999999999,0.1198834637965909,0.0
assist2012,learner_based,dkt,42,dense,R,528018,0.0589038713144663,0.1925235752230956,0.2101646730328915,0.0050396819368708,0.0224614128005252
assist2012,learner_based,dkt,42,medium,R,5677,0.150226491128105,0.2253597803370755,0.2482201916208563,0.0262377409701152,0.048296577304472
assist2012,learner_based,dkt,42,sparse,L,444,0.2342698363728154,0.2599894387508801,0.2468295998701404,0.0615498944794591,0.0478778378300053
assist2012,learner_based,dkt,42,very_sparse,I,11,0.0835343464171852,0.0370594786500918,0.2479338842975206,0.0370378997216834,0.2479338842975206
assist2012,learner_based,dkt,2024,dense,R,536699,0.0586155805274895,0.1926673992858401,0.2105409581490497,0.0048116963197689,0.0225010550704792
assist2012,learner_based,dkt,2024,medium,R,5597,0.1316716093236384,0.2103971702759231,0.2475418104896734,0.0198267837921872,0.0561214772233575
assist2012,learner_based,dkt,2024,sparse,L,443,0.2416308911929829,0.2551320376796976,0.242447095271823,0.0615539082396287,0.0474652370979264
assist2012,learner_based,dkt,2024,very_sparse,I,9,0.2873271893347716,0.2141247364558864,0.2222222222222222,0.2137928260747382,0.2222222222222222
assist2012,learner_based,dkt,2025,dense,R,521974,0.0590901229031299,0.1926279004663398,0.2100833323533017,0.0050505661383934,0.0222826724743724
assist2012,learner_based,dkt,2025,medium,R,6280,0.1487088825334583,0.2210709313492729,0.2496875887459937,0.0245614935160774,0.052056274531117
assist2012,learner_based,dkt,2025,sparse,L,407,0.2137301678822156,0.2314867246521412,0.2248851487180725,0.0551248561009468,0.0485004280295543
assist2012,learner_based,dkt,2025,very_sparse,I,20,0.2334532961667719,0.2004607672036279,0.2274999999999999,0.0980503022642898,0.1225
assist2012,learner_based,simplekt,42,dense,R,528018,0.1171626422731088,0.2118832813904717,0.2101646730328915,0.0206046173744291,0.0186906296019257
assist2012,learner_based,simplekt,42,medium,R,5677,0.1569533670605146,0.2305375467326297,0.2482201916208563,0.0285545966580753,0.0455587440784497
assist2012,learner_based,simplekt,42,sparse,L,444,0.2103509809540423,0.2456532032312947,0.2468295998701404,0.0495135868567323,0.0501617130706746
assist2012,learner_based,simplekt,42,very_sparse,I,11,0.3007737187363091,0.2401291672477061,0.2479338842975206,0.1266810466894486,0.134297520661157
assist2012,learner_based,simplekt,2024,dense,R,536699,0.1203343044319062,0.2142562084961593,0.2105409581490497,0.0217871704234644,0.0179473906348534
assist2012,learner_based,simplekt,2024,medium,R,5597,0.147658921372322,0.217614139445964,0.2475418104896734,0.0249829686142998,0.0540999208237246
assist2012,learner_based,simplekt,2024,sparse,L,443,0.2391890303331033,0.2636242744490401,0.242447095271823,0.0615446791105844,0.039203013694843
assist2012,learner_based,simplekt,2024,very_sparse,I,9,0.0951544353738426,0.0735867269497148,0.2222222222222222,0.0213809121520288,0.1666666666666666
assist2012,learner_based,simplekt,2025,dense,R,521974,0.1185175522134773,0.2123650853953829,0.2100833323533017,0.0211064903111951,0.0186584870195794
assist2012,learner_based,simplekt,2025,medium,R,6280,0.1571251046835341,0.2304233372428669,0.2496875887459937,0.0287119239342819,0.0470087255741005
assist2012,learner_based,simplekt,2025,sparse,L,407,0.2118509059462664,0.2384326876378311,0.2248851487180725,0.0525186757529823,0.0377907953339907
assist2012,learner_based,simplekt,2025,very_sparse,I,20,0.1833764191724185,0.176292141889231,0.2274999999999999,0.0586171732048369,0.1025
assist2012,temporal,irt_1pl,42,dense,R,521661,0.0194244524265376,0.2074338870208769,0.2138490566307713,0.0006573140279035,0.0069349306021222
assist2012,temporal,irt_1pl,42,medium,R,4558,0.0853367534898734,0.2424685478275987,0.2347430350678813,0.0100888870446414,0.0027434312085938
assist2012,temporal,irt_1pl,42,sparse,R,3030,0.1373708095182899,0.241917737693374,0.2340223725342831,0.0260512705246592,0.0178943238799218
assist2012,temporal,irt_1pl,42,very_sparse,R,2250,0.2008008148032429,0.2700420124861801,0.2431662222222222,0.0436974751441065,0.016610426665518
assist2012,temporal,irt_1pl,2024,dense,R,521661,0.0200945615707901,0.2074290800683909,0.2138490566307713,0.0006929052435218,0.0070062216644545
assist2012,temporal,irt_1pl,2024,medium,R,4558,0.0852212278484047,0.2425296871658127,0.2347430350678813,0.0101438760319634,0.002932271283504
assist2012,temporal,irt_1pl,2024,sparse,R,3030,0.1375663034768724,0.2418397538083788,0.2340223725342831,0.026315777369366,0.0181208572628605
assist2012,temporal,irt_1pl,2024,very_sparse,R,2250,0.2014460694076504,0.2701107278925255,0.2431662222222222,0.0440084697825901,0.0169478857810731
assist2012,temporal,irt_1pl,2025,dense,R,521661,0.0202246874987139,0.2074115401690271,0.2138490566307713,0.0006725423349872,0.0069916978620331
assist2012,temporal,irt_1pl,2025,medium,R,4558,0.0851796393229548,0.2426193554874677,0.2347430350678813,0.0103038758653818,0.0029706082387225
assist2012,temporal,irt_1pl,2025,sparse,R,3030,0.1409837455830803,0.2423038659721596,0.2340223725342831,0.027094944829392,0.0183408800288989
assist2012,temporal,irt_1pl,2025,very_sparse,R,2250,0.2011969412446372,0.2701940268707521,0.2431662222222222,0.0438787685244419,0.0166739775273459
assist2012,temporal,irt_1pl,2026,dense,R,521661,0.020434205024034,0.2073525568533745,0.2138490566307713,0.0007226195505604,0.0071059162173409
assist2012,temporal,irt_1pl,2026,medium,R,4558,0.0861706949790428,0.2420842125166405,0.2347430350678813,0.0095187608912265,0.0025866639933527
assist2012,temporal,irt_1pl,2026,sparse,R,3030,0.1403504718779233,0.2421986752216495,0.2340223725342831,0.0268430947521275,0.0184657350407782
assist2012,temporal,irt_1pl,2026,very_sparse,R,2250,0.2006210646178336,0.2700273023131224,0.2431662222222222,0.0436390735323534,0.0166784082314973
assist2012,temporal,irt_1pl,2027,dense,R,521661,0.0216245420192504,0.2075369569435823,0.2138490566307713,0.0007961568420373,0.0070027207715295
assist2012,temporal,irt_1pl,2027,medium,R,4558,0.0858789310695886,0.2429124025196928,0.2347430350678813,0.0103611418213819,0.0026787712674687
assist2012,temporal,irt_1pl,2027,sparse,R,3030,0.1398008002805087,0.2422938753974927,0.2340223725342831,0.0269924648585854,0.0188467714175255
assist2012,temporal,irt_1pl,2027,very_sparse,R,2250,0.2021151309747342,0.2701518309504751,0.2431662222222222,0.0442012909755923,0.0170439844474526
assist2012,temporal,dkt,42,dense,R,521661,0.0811553374877061,0.2088034411377101,0.2138490566307713,0.0104196365613476,0.0153755685448699
assist2012,temporal,dkt,42,medium,R,4558,0.2795704826602463,0.3385006376594366,0.2347430350678813,0.1067757601936912,0.0036079372064627
assist2012,temporal,dkt,42,sparse,R,3030,0.3149320322593399,0.3432533277054914,0.2340223725342831,0.1228217859674199,0.0126837195461326
assist2012,temporal,dkt,42,very_sparse,R,2250,0.1669748016264702,0.3064372495733026,0.2431662222222222,0.0789671348523529,0.0155206516197808
assist2012,temporal,dkt,2024,dense,R,521661,0.0822547259021425,0.2085656853367602,0.2138490566307713,0.0105375350542511,0.0157302672753055
assist2012,temporal,dkt,2024,medium,R,4558,0.290850038106771,0.3415812566262736,0.2347430350678813,0.1126688105398449,0.0056686283870134
assist2012,temporal,dkt,2024,sparse,R,3030,0.2985030086301666,0.3353560925515,0.2340223725342831,0.1124257402087909,0.0108030329938347
assist2012,temporal,dkt,2024,very_sparse,R,2250,0.1886256149469219,0.3280428305270494,0.2431662222222222,0.1010152607130601,0.0166612607615788
assist2012,temporal,dkt,2025,dense,R,521661,0.0847004326392751,0.2099905460962879,0.2138490566307713,0.0113849598901052,0.0152173942532374
