dataset,split_mode,model,seed,group,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,reliability,resolution
assist2012,learner_based,bkt,123,warm,222,467504,0.5,0.29000607481433316,24.52232142373269,0.8426113725708106,0.7099939251856668,0.7099939251856668,0.5040913738005502,0.0
assist2012,learner_based,bkt,2024,warm,219,459070,0.5,0.289587644585793,24.53677349183311,0.8428596297214653,0.710412355414207,0.710412355414207,0.5046857147251615,0.0
assist2012,learner_based,bkt,2025,warm,222,467504,0.5,0.29000607481433316,24.52232142373269,0.8426113725708106,0.7099939251856668,0.7099939251856668,0.5040913738005502,0.0
assist2012,learner_based,bkt,2026,strict,1,4,,0.0,0.6931471805599453,0.5,0.5,0.25,0.25,0.0
assist2012,learner_based,bkt,2026,k5,1,4,,0.0,0.6931471805599453,0.5,0.5,0.25,0.25,0.0
assist2012,learner_based,bkt,2026,k10,1,4,,0.0,0.6931471805599453,0.5,0.5,0.25,0.25,0.0
assist2012,learner_based,bkt,2026,warm,222,454807,0.5,0.2891006514851355,24.55359363764258,0.8431484735886458,0.7108993485148646,0.7108993485148646,0.505377883718859,0.0
assist2012,learner_based,bkt,42,warm,219,459070,0.5,0.289587644585793,24.53677349183311,0.8428596297214653,0.710412355414207,0.710412355414207,0.5046857147251615,0.0
assist2012,learner_based,dkt,2024,k5,4,5,1.0,0.8,0.40213512822234343,0.38152624895819615,0.2216573476274789,0.14556227864411148,0.14548800948311466,0.16000000000000003
assist2012,learner_based,dkt,2024,k10,5,6,1.0,0.8333333333333334,0.33515154064878483,0.3482842344451034,0.18475338560589682,0.12130190796301177,0.12121994406431996,0.13888888888888892
assist2012,learner_based,dkt,2024,warm,255,534144,0.69951295111178,0.7181172118380063,0.5798142849031447,0.4391232724698802,0.06096632419826976,0.19282924842465665,0.005289355522670862,0.023153771955221066
assist2012,learner_based,dkt,2024,k5,3,3,1.0,1.0,0.009332741879501201,0.0104595241697983,0.009277567034587191,0.0001094016458585948,8.67838819152097e-05,0.22222222222222224
assist2012,learner_based,dkt,2024,k10,4,4,1.0,1.0,0.018497951899177124,0.024232617463467894,0.018196152348536946,0.0005872197491307691,0.0003509991370121029,0.1875
assist2012,learner_based,dkt,2024,warm,256,542744,0.6986806295570409,0.7191512020400042,0.5800351781413899,0.4392072318317466,0.05943305993855383,0.19290299249330561,0.004954007165825484,0.023053885857336223
assist2012,learner_based,dkt,2025,k5,3,3,1.0,1.0,0.09546952306087841,0.09551039761136453,0.09053949266672132,0.009122236051880946,0.0086580353703852,0.22222222222222224
assist2012,learner_based,dkt,2025,k10,4,4,1.0,1.0,0.07453350776600647,0.08291952950158664,0.07081886613741514,0.006875648372764496,0.006527497861642686,0.1875
assist2012,learner_based,dkt,2025,warm,256,542744,0.6975318769238277,0.7187808616953849,0.5803058694993711,0.4392282742538355,0.058213277407101846,0.19292147690400252,0.004814499901445488,0.022868949655822896
assist2012,learner_based,dkt,2025,strict,1,4,,1.0,0.6043561981180772,0.45360522269681636,0.4534188136458397,0.20575769805782834,0.2057019169375756,0.0
assist2012,learner_based,dkt,2025,k5,4,9,,0.8888888888888888,0.5090155236948538,0.4216482362167622,0.30330475291056136,0.17778723510470648,0.17768420579649474,0.0
assist2012,learner_based,dkt,2025,k10,5,11,0.4,0.8181818181818182,0.9061094900470951,0.48532475332649927,0.3322106940110891,0.23554011619142737,0.15930513612031139,0.0068870523415977955
assist2012,learner_based,dkt,2025,warm,255,528670,0.6984146973627063,0.7187697429398301,0.5801504820176026,0.43931206514483384,0.060116811454383134,0.1929950905818187,0.0052312281556054045,0.02296573558540339
