dataset,split_mode,model,group,auc_mean,auc_std,acc_mean,acc_std,ece_mean,ece_std,brier_mean,brier_std,reliability_mean,reliability_std,resolution_mean,resolution_std
assist2012,learner_based,bkt,k10,,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0
assist2012,learner_based,bkt,k5,,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0
assist2012,learner_based,bkt,warm,0.5,0.0,0.28965761805707757,0.0003751161683340026,0.7103423819429224,0.0003751161683340052,0.7103423819429224,0.0003751161683340052,0.5045864121540565,0.000532981046105609,0.0,0.0
assist2012,learner_based,dkt,k10,1.0,0.0,0.9444444444444445,0.09622504486493756,0.10451400853687824,0.06978569350059831,0.04841678086578773,0.06332595612594248,0.04827131607470436,0.06339475072024253,0.15509259259259262,0.028065638085606786
assist2012,learner_based,dkt,k5,1.0,0.0,0.9333333333333332,0.11547005383792512,0.12669304963807612,0.08301807283174249,0.058385907447821885,0.07570997893445709,0.058204826919265436,0.0758197656224848,0.18074074074074076,0.03592401674957671
assist2012,learner_based,dkt,warm,0.6986582999191123,0.001018115253331407,0.7185087945007461,0.00034759278421201176,0.05971513635374362,0.0013935363862012675,0.19289271343397188,5.504244473269176e-05,0.005111034892338554,0.00025855935785506904,0.022995239985219445,0.00014512263124783514
assist2012,learner_based,simplekt,k10,1.0,0.0,0.75,0.0833333333333334,0.2783871242681925,0.048428685746936366,0.2087806268797813,0.057759626408094504,0.1559858427587871,0.03792491375458554,0.09953703703703703,0.07617816051807562
assist2012,learner_based,simplekt,k5,1.0,0.0,0.8666666666666667,0.11547005383792512,0.17351669576229242,0.10848603453449167,0.13285952071484433,0.10993750245567332,0.06950577976965126,0.05492506408924757,0.11407407407407409,0.09365904366853929
assist2012,learner_based,simplekt,warm,0.6826965484810534,0.0008049522149962653,0.69920817670975,0.0008808871124079728,0.11673413985892445,0.001023015349538318,0.21235303224030525,0.0008460474481172492,0.020486213221798864,0.0005524938094099802,0.018946699990958,0.00015183154942762458
assist2012,temporal,bkt,k10,0.5,0.0,0.4280415430267062,0.0,0.5719584569732937,0.0,0.5719584569732937,0.0,0.3271364765032711,0.0,0.0,0.0
assist2012,temporal,bkt,k5,0.5,0.0,0.484608619173263,0.0,0.5153913808267371,0.0,0.5153913808267371,0.0,0.2656282754304907,0.0,0.0,0.0
assist2012,temporal,bkt,strict,0.5,0.0,0.4875886524822695,0.0,0.5124113475177305,0.0,0.5124113475177305,0.0,0.2625653890649364,0.0,0.0,0.0
assist2012,temporal,bkt,warm,0.5000073877157758,0.0,0.3120998811623093,0.0,0.6874964061182244,0.0,0.6876982624779574,0.0,0.4734880706222284,0.0,2.9816763648718336e-09,0.0
assist2012,temporal,dkt,k10,0.5400717520241141,0.0,0.5621716287215411,0.0,0.20380104006888233,0.0,0.3007174528922815,0.0,0.05997232982101273,0.0,0.005194227272610263,0.0
assist2012,temporal,dkt,k5,0.5379722222222222,0.0,0.530281690140845,0.0,0.23322082151534324,0.0,0.3187198684221877,0.0,0.07291981661415319,0.0,0.0054013105651483945,0.0
assist2012,temporal,dkt,strict,0.5359903977109695,0.0,0.527363184079602,0.0,0.23543631192621192,0.0,0.32006176470734277,0.0,0.07405215710886219,0.0,0.005178126360857582,0.0
