dataset,split_mode,model,seed,setting,bucket,auc,ece,brier,n_events
junyi,learner_based,bkt,42,Main,dense,0.5,0.7041386769759862,0.7041386769759862,3264405
junyi,learner_based,bkt,42,Main,medium,0.5,0.5692829457364341,0.5692829457364341,4617
junyi,learner_based,bkt,42,Alt_1,dense,0.5,0.7039536852449907,0.7039536852449907,3268484
junyi,learner_based,bkt,42,Alt_1,medium,0.5,0.6701902748414377,0.6701902748414376,538
junyi,learner_based,bkt,42,Alt_2,dense,0.5,0.7045208738914125,0.7045208738914126,3257444
junyi,learner_based,bkt,42,Alt_2,medium,0.5,0.5430238210986874,0.5430238210986873,11426
junyi,learner_based,bkt,42,Alt_2,sparse,0.5,0.6102941176470589,0.6102941176470588,152
junyi,learner_based,bkt,42,Alt_Quantile,dense,0.5,0.7424586037093883,0.7424586037093883,1715780
junyi,learner_based,bkt,42,Alt_Quantile,medium,0.5,0.6866843383969142,0.6866843383969143,873405
junyi,learner_based,bkt,42,Alt_Quantile,sparse,0.5,0.6442596186288119,0.6442596186288119,495965
junyi,learner_based,bkt,42,Alt_Quantile,very_sparse,0.5,0.5857892342683851,0.5857892342683851,183872
junyi,learner_based,dkt,42,Main,dense,0.7328013668335287,0.0405160654731291,0.1806744802468112,3264405
junyi,learner_based,dkt,42,Main,medium,0.6195222367441603,0.2354374327646935,0.2979960653041227,4617
junyi,learner_based,dkt,42,Alt_1,dense,0.7326032122219583,0.0407346041253558,0.1808213189568431,3268484
junyi,learner_based,dkt,42,Alt_1,medium,0.5913230028398568,0.2572885290880776,0.2954212904507379,538
junyi,learner_based,dkt,42,Alt_2,dense,0.7330067833358226,0.0402179601109485,0.1804536480802879,3257444
junyi,learner_based,dkt,42,Alt_2,medium,0.6272141531989228,0.2142792166318276,0.2897502663327007,11426
junyi,learner_based,dkt,42,Alt_2,sparse,0.6531802442135959,0.2541983746341429,0.2775313370924143,152
junyi,learner_based,dkt,42,Alt_Quantile,dense,0.7423925476033716,0.0261051454848936,0.1643550846895707,1715780
junyi,learner_based,dkt,42,Alt_Quantile,medium,0.7188800613476846,0.0427411904140017,0.1889923342098769,873405
junyi,learner_based,dkt,42,Alt_Quantile,sparse,0.7157709732261188,0.0634368491925555,0.2035812984554431,495965
junyi,learner_based,dkt,42,Alt_Quantile,very_sparse,0.68754881984675,0.1176457211951219,0.2346051001016905,183872
junyi,learner_based,simplekt,42,Main,dense,0.7267051803105571,0.0756703853679386,0.1865640692597141,3264405
junyi,learner_based,simplekt,42,Main,medium,0.7066685355954387,0.0905031309516563,0.2244287627642922,4617
junyi,learner_based,simplekt,42,Alt_1,dense,0.7267454214820407,0.0756740110363592,0.1866143861715214,3268484
junyi,learner_based,simplekt,42,Alt_1,medium,0.7071706383504137,0.110449825828985,0.20582293308748,538
junyi,learner_based,simplekt,42,Alt_2,dense,0.7266147746763694,0.0757266494112805,0.1864671154597656,3257444
junyi,learner_based,simplekt,42,Alt_2,medium,0.6943364107092448,0.0868975030971023,0.2296099999262483,11426
junyi,learner_based,simplekt,42,Alt_2,sparse,0.8088208492801165,0.1506836702556986,0.1786697273796831,152
junyi,learner_based,simplekt,42,Alt_Quantile,dense,0.7242325454844672,0.0769207651377356,0.1748334936633643,1715780
junyi,learner_based,simplekt,42,Alt_Quantile,medium,0.7130544694076355,0.0791914826539084,0.1953608634034218,873405
junyi,learner_based,simplekt,42,Alt_Quantile,sparse,0.7245129382420471,0.0721237693059604,0.2022021874845739,495965
junyi,learner_based,simplekt,42,Alt_Quantile,very_sparse,0.7243942508054565,0.0699876433753799,0.2130106461835419,183872
junyi,temporal,bkt,42,Main,dense,0.5000404864694259,0.706783301062874,0.7068054758392875,3072767
junyi,temporal,bkt,42,Main,medium,0.5001431881256377,0.5445684117642661,0.5446001929303732,151597
junyi,temporal,bkt,42,Main,sparse,0.4998526634004145,0.6397576782192167,0.6399337841645534,16206
junyi,temporal,bkt,42,Main,very_sparse,0.5,0.5203252032520326,0.5203252032520326,2545
junyi,temporal,bkt,42,Alt_1,dense,0.5000459673690448,0.7024714818666754,0.7024944420268513,3165399
junyi,temporal,bkt,42,Alt_1,medium,0.500232025912095,0.5407404556650246,0.5407827894088671,73679
junyi,temporal,bkt,42,Alt_1,sparse,0.5,0.8303914044512664,0.8303914044512662,1492
junyi,temporal,bkt,42,Alt_1,very_sparse,0.5,0.5203252032520326,0.5203252032520326,2545
junyi,temporal,bkt,42,Alt_2,dense,0.5000375346874516,0.7097340120007901,0.7097552960353803,3001397
junyi,temporal,bkt,42,Alt_2,medium,0.5000911922911578,0.5571065283682417,0.5571440893004208,203808
junyi,temporal,bkt,42,Alt_2,sparse,0.5000748926481816,0.5827110471151593,0.5828366205672572,33873
junyi,temporal,bkt,42,Alt_2,very_sparse,0.5,0.6352004549331817,0.6352004549331817,4037
junyi,temporal,bkt,42,Alt_Quantile,dense,0.5000366725459853,0.7476630450304846,0.7476510746464746,1351662
junyi,temporal,bkt,42,Alt_Quantile,medium,0.500049135449027,0.696851104536614,0.6968764452102958,717056
junyi,temporal,bkt,42,Alt_Quantile,sparse,0.5000621116564786,0.6912828697808329,0.691300635932185,591491
junyi,temporal,bkt,42,Alt_Quantile,very_sparse,0.5000227270594559,0.5950242196066821,0.5951328036897163,582906
junyi,temporal,dkt,42,Main,dense,0.5002007040412147,0.1935085375563244,0.2634849069934011,3072767
junyi,temporal,dkt,42,Main,medium,0.5040793899302455,0.2526497328232711,0.3296738529370543,151597
junyi,temporal,dkt,42,Main,sparse,0.49582747663214,0.213883079013969,0.2934830570977443,16206
junyi,temporal,dkt,42,Main,very_sparse,0.4762295639274345,0.2904884216330821,0.359665143217443,2545
junyi,temporal,dkt,42,Alt_1,dense,0.500348695373302,0.1939671681938197,0.2652469288811875,3165399
junyi,temporal,dkt,42,Alt_1,medium,0.5036868186713939,0.2554988543836718,0.3317258443421188,73679
junyi,temporal,dkt,42,Alt_1,sparse,0.4835835700000323,0.1810153513988528,0.2063597825414209,1492
junyi,temporal,dkt,42,Alt_1,very_sparse,0.4762295639274345,0.2904884216330821,0.359665143217443,2545
junyi,temporal,dkt,42,Alt_2,dense,0.5001399914732005,0.1932092938772313,0.2622739514232184,3001397
junyi,temporal,dkt,42,Alt_2,medium,0.5027441614846194,0.2468984510244133,0.3249625834081865,203808
junyi,temporal,dkt,42,Alt_2,sparse,0.5045422568977415,0.2310064945658571,0.3139777031799936,33873
junyi,temporal,dkt,42,Alt_2,very_sparse,0.475373562945343,0.2313679066081538,0.3030063376369067,4037
junyi,temporal,dkt,42,Alt_Quantile,dense,0.5006231554358325,0.1882868687672993,0.2462678730675263,1351662
junyi,temporal,dkt,42,Alt_Quantile,medium,0.4998982840845594,0.1957383716960753,0.2677724444919187,717056
junyi,temporal,dkt,42,Alt_Quantile,sparse,0.4987719502155342,0.1977497367412047,0.2704230947332053,591491
junyi,temporal,dkt,42,Alt_Quantile,very_sparse,0.5018514189973985,0.2288097707503644,0.3095614695564479,582906
junyi,temporal,simplekt,42,Main,dense,0.4996368209285629,0.2266545801385876,0.2797187141012712,3072767
junyi,temporal,simplekt,42,Main,medium,0.5036305871406491,0.2639754097985397,0.3394372729174721,151597
junyi,temporal,simplekt,42,Main,sparse,0.4909080045222698,0.2408189171880491,0.3083633105766719,16206
junyi,temporal,simplekt,42,Main,very_sparse,0.493131625305189,0.3083736407083837,0.3649132396852538,2545
junyi,temporal,simplekt,42,Alt_1,dense,0.4997453055437758,0.2266796393285968,0.2813094833013697,3165399
junyi,temporal,simplekt,42,Alt_1,medium,0.5040391689030312,0.2669805409159466,0.3417081517196293,73679
junyi,temporal,simplekt,42,Alt_1,sparse,0.4937982016561822,0.2211523504674012,0.2225000021937265,1492
junyi,temporal,simplekt,42,Alt_1,very_sparse,0.493131625305189,0.3083736407083837,0.3649132396852538,2545
junyi,temporal,simplekt,42,Alt_2,dense,0.4996058028134411,0.2266021716891515,0.2785972463456988,3001397
junyi,temporal,simplekt,42,Alt_2,medium,0.5017878660421479,0.2596572468178831,0.3354462537926835,203808
