dataset,split_mode,model,seed,group,n_events,n_kcs
assist2012,learner_based,bkt,123,strict,0,0
assist2012,learner_based,bkt,123,k5,0,0
assist2012,learner_based,bkt,123,k10,0,0
assist2012,learner_based,bkt,123,warm,0,0
assist2012,learner_based,bkt,2026,strict,0,0
assist2012,learner_based,bkt,2026,k5,0,0
assist2012,learner_based,bkt,2026,k10,0,0
assist2012,learner_based,bkt,2026,warm,0,0
assist2012,learner_based,bkt,42,strict,0,0
assist2012,learner_based,bkt,42,k5,0,0
assist2012,learner_based,bkt,42,k10,0,0
assist2012,learner_based,bkt,42,warm,0,0
assist2012,learner_based,dkt,42,strict,0,0
assist2012,learner_based,dkt,42,k5,0,0
assist2012,learner_based,dkt,42,k10,0,0
assist2012,learner_based,dkt,42,warm,0,0
assist2012,temporal,bkt,123,strict,0,0
assist2012,temporal,bkt,123,k5,0,0
assist2012,temporal,bkt,123,k10,0,0
assist2012,temporal,bkt,123,warm,0,0
assist2012,temporal,bkt,2026,strict,0,0
assist2012,temporal,bkt,2026,k5,0,0
assist2012,temporal,bkt,2026,k10,0,0
assist2012,temporal,bkt,2026,warm,0,0
assist2012,temporal,bkt,42,strict,0,0
assist2012,temporal,bkt,42,k5,0,0
assist2012,temporal,bkt,42,k10,0,0
assist2012,temporal,bkt,42,warm,0,0
assist2012,temporal,dkt,42,strict,0,0
assist2012,temporal,dkt,42,k5,0,0
assist2012,temporal,dkt,42,k10,0,0
assist2012,temporal,dkt,42,warm,0,0
assist_bkt_test,learner_based,bkt,42,strict,0,0
assist_bkt_test,learner_based,bkt,42,k5,0,0
assist_bkt_test,learner_based,bkt,42,k10,0,0
assist_bkt_test,learner_based,bkt,42,warm,0,0
assist_bkt_test,temporal,bkt,2024,strict,0,0
assist_bkt_test,temporal,bkt,2024,k5,0,0
assist_bkt_test,temporal,bkt,2024,k10,0,0
assist_bkt_test,temporal,bkt,2024,warm,0,0
assist_bkt_test,temporal,bkt,2025,strict,0,0
assist_bkt_test,temporal,bkt,2025,k5,0,0
assist_bkt_test,temporal,bkt,2025,k10,0,0
assist_bkt_test,temporal,bkt,2025,warm,0,0
assist_bkt_test,temporal,bkt,42,strict,0,0
assist_bkt_test,temporal,bkt,42,k5,0,0
assist_bkt_test,temporal,bkt,42,k10,0,0
