dataset,split_mode,model,seed,group,n_events,auc,acc,nll,ece,brier,reliability,resolution
junyi_bkt_test,learner_based,bkt,42,strict,16,0.5,0.3125,0.6931471805599453,0.1875,0.25,0.03515625,0.0
junyi_bkt_test,learner_based,bkt,42,k5,162,0.42647058823529405,0.4074074074074074,7.0855045123905525,0.2962962962962963,0.3333333333333333,0.1050084175084175,0.0048712432971692214
junyi_bkt_test,learner_based,bkt,42,k10,419,0.3924501424501424,0.39622641509433965,14.490699548309799,0.45283018867924524,0.4716981132075472,0.23549847016828146,0.01371135731673289
junyi_bkt_test,learner_based,bkt,42,warm,17344,0.5,0.3835489833641405,22.21914677499181,0.6164510166358595,0.6164510166358595,0.3800118559113848,0.0
junyi_bkt_test,temporal,bkt,2024,strict,12,0.5,0.5,18.021826694558577,0.5,0.5,0.25,0.0
junyi_bkt_test,temporal,bkt,2024,k5,174,0.5,0.3870967741935484,22.091271432039544,0.6129032258064516,0.6129032258064516,0.3756503642039542,0.0
junyi_bkt_test,temporal,bkt,2024,k10,511,0.5128205128205128,0.42424242424242425,20.762908726772906,0.5833333333333334,0.5795454545454546,0.34038461538461545,0.0025746980292434833
junyi_bkt_test,temporal,bkt,2024,warm,17249,0.5022569350198143,0.3957268927078495,21.75026956407308,0.6049698095680445,0.6046214584300975,0.36641084251122225,0.00022789080189091602
junyi_bkt_test,temporal,bkt,2025,strict,12,0.5,0.5,18.021826694558577,0.5,0.5,0.25,0.0
junyi_bkt_test,temporal,bkt,2025,k5,174,0.5,0.3870967741935484,22.091271432039544,0.6129032258064516,0.6129032258064516,0.3756503642039542,0.0
junyi_bkt_test,temporal,bkt,2025,k10,511,0.5128205128205128,0.42424242424242425,20.762908726772906,0.5833333333333334,0.5795454545454546,0.34038461538461545,0.0025746980292434833
junyi_bkt_test,temporal,bkt,2025,warm,17249,0.5022569350198143,0.3957268927078495,21.75026956407308,0.6049698095680445,0.6046214584300975,0.36641084251122225,0.00022789080189091602
junyi_bkt_test,temporal,bkt,42,strict,12,0.5,0.5,18.021826694558577,0.5,0.5,0.25,0.0
junyi_bkt_test,temporal,bkt,42,k5,174,0.5,0.3870967741935484,22.091271432039544,0.6129032258064516,0.6129032258064516,0.3756503642039542,0.0
junyi_bkt_test,temporal,bkt,42,k10,511,0.5128205128205128,0.42424242424242425,20.762908726772906,0.5833333333333334,0.5795454545454546,0.34038461538461545,0.0025746980292434833
junyi_bkt_test,temporal,bkt,42,warm,17249,0.5022569350198143,0.3957268927078495,21.75026956407308,0.6049698095680445,0.6046214584300975,0.36641084251122225,0.00022789080189091602
