dataset,split,model,seed,group,n_kcs,n_events,auc,acc,nll
assist2012,learner_based,irt_1pl,42,k5,4,5,0.5,0.2,1.0254226995790063
assist2012,learner_based,irt_1pl,42,k10,5,6,0.5,0.1666666666666666,1.0530575886824536
assist2012,learner_based,irt_1pl,42,warm,255,534144,0.5,0.6977968487898395,0.6127258782084245
assist2012,learner_based,irt_1pl,2024,k5,3,3,0.5,0.3333333333333333,0.9149452014390924
assist2012,learner_based,irt_1pl,2024,k10,4,4,0.5,0.25,0.9840466771750842
assist2012,learner_based,irt_1pl,2024,warm,256,542744,0.5,0.6970118508910278,0.613376534358519
assist2012,learner_based,irt_1pl,2025,k5,4,9,,0.0,1.1915236678432282
assist2012,learner_based,irt_1pl,2025,k10,5,11,0.5,0.0909090909090909,1.1161177071140194
assist2012,learner_based,irt_1pl,2025,warm,255,528670,0.5,0.6975958537461933,0.6128919267663404
assist2012,learner_based,dkt,42,k5,4,5,1.0,1.0,0.0810038415756926
assist2012,learner_based,dkt,42,k10,5,6,1.0,1.0,0.0689103078291823
assist2012,learner_based,dkt,42,warm,255,534144,0.6989300717217294,0.7186283099688473,0.5803411443862481
assist2012,learner_based,dkt,2024,k5,3,3,1.0,1.0,0.0093327418795012
assist2012,learner_based,dkt,2024,k10,4,4,1.0,1.0,0.0184979518991771
assist2012,learner_based,dkt,2024,warm,256,542744,0.6986806295570409,0.7191512020400042,0.5800351781413899
assist2012,learner_based,dkt,2025,k5,4,9,,0.8888888888888888,0.5090155236948538
assist2012,learner_based,dkt,2025,k10,5,11,0.4,0.8181818181818182,0.9061094900470952
assist2012,learner_based,dkt,2025,warm,255,528670,0.6984146973627063,0.7187697429398301,0.5801504820176026
assist2012,learner_based,simplekt,42,k5,4,5,1.0,0.8,0.8802854824442019
assist2012,learner_based,simplekt,42,k10,5,6,1.0,0.6666666666666666,0.9842743271263056
assist2012,learner_based,simplekt,42,warm,255,534144,0.6837015203114715,0.6994799155283968,0.6985387606795952
