run_id,status,error
assist2012_learner_based_irt_1pl_seed42,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_irt_1pl_seed2024,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_irt_1pl_seed2025,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_irt_1pl_seed2026,FAILED,Data files not found at C:\TRINH\P0\p0-sparse-calibration-kt\data\processed\assist2012\splits\learner_based\fold_3
assist2012_learner_based_irt_1pl_seed2027,FAILED,Data files not found at C:\TRINH\P0\p0-sparse-calibration-kt\data\processed\assist2012\splits\learner_based\fold_4
assist2012_learner_based_dkt_seed42,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_dkt_seed2024,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_dkt_seed2025,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_dkt_seed2026,FAILED,Data files not found at C:\TRINH\P0\p0-sparse-calibration-kt\data\processed\assist2012\splits\learner_based\fold_3
assist2012_learner_based_dkt_seed2027,FAILED,Data files not found at C:\TRINH\P0\p0-sparse-calibration-kt\data\processed\assist2012\splits\learner_based\fold_4
assist2012_learner_based_simplekt_seed42,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_simplekt_seed2024,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_simplekt_seed2025,SUCCESS,Success (Loaded cached predictions)
assist2012_learner_based_simplekt_seed2026,FAILED,Data files not found at C:\TRINH\P0\p0-sparse-calibration-kt\data\processed\assist2012\splits\learner_based\fold_3
assist2012_learner_based_simplekt_seed2027,FAILED,Data files not found at C:\TRINH\P0\p0-sparse-calibration-kt\data\processed\assist2012\splits\learner_based\fold_4
assist2012_temporal_irt_1pl_seed42,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_irt_1pl_seed2024,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_irt_1pl_seed2025,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_irt_1pl_seed2026,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_irt_1pl_seed2027,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_dkt_seed42,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_dkt_seed2024,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_dkt_seed2025,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_dkt_seed2026,SUCCESS,Success (Loaded cached predictions)
assist2012_temporal_dkt_seed2027,SUCCESS,Success (Loaded cached predictions)
