dataset,split,fold,kc_id,train_freq,valid_freq,test_freq,bucket
assist2012,learner_based,0,1.0,6609,932,2007,dense
assist2012,learner_based,0,2.0,422,61,121,medium
assist2012,learner_based,0,3.0,41,8,11,sparse
assist2012,learner_based,0,4.0,7975,1019,2161,dense
assist2012,learner_based,0,5.0,4338,778,1378,dense
assist2012,learner_based,0,6.0,1326,165,386,dense
assist2012,learner_based,0,7.0,450,51,143,medium
assist2012,learner_based,0,8.0,5628,743,1633,dense
assist2012,learner_based,0,9.0,669,87,193,dense
assist2012,learner_based,0,10.0,362,46,111,medium
assist2012,learner_based,0,11.0,4532,468,1211,dense
assist2012,learner_based,0,12.0,14585,2074,4089,dense
assist2012,learner_based,0,13.0,14293,1827,3794,dense
assist2012,learner_based,0,14.0,988,147,287,dense
assist2012,learner_based,0,15.0,10426,1369,2802,dense
assist2012,learner_based,0,16.0,5123,662,1484,dense
assist2012,learner_based,0,17.0,9860,1526,3434,dense
assist2012,learner_based,0,18.0,13547,1766,3966,dense
assist2012,learner_based,0,21.0,12153,1841,3209,dense
assist2012,learner_based,0,22.0,10075,1322,2652,dense
assist2012,learner_based,0,23.0,15,3,1,very_sparse
assist2012,learner_based,0,24.0,3700,531,915,dense
assist2012,learner_based,0,25.0,18704,2580,5165,dense
assist2012,learner_based,0,26.0,4517,626,1312,dense
assist2012,learner_based,0,27.0,21551,3241,6344,dense
assist2012,learner_based,0,29.0,17,3,4,very_sparse
assist2012,learner_based,0,30.0,6,1,1,very_sparse
assist2012,learner_based,0,32.0,4165,474,1161,dense
assist2012,learner_based,0,33.0,563,84,167,dense
assist2012,learner_based,0,34.0,13637,1678,4126,dense
assist2012,learner_based,0,35.0,714,111,171,dense
assist2012,learner_based,0,36.0,5043,542,1346,dense
assist2012,learner_based,0,38.0,5,0,0,very_sparse
assist2012,learner_based,0,39.0,13024,1730,3789,dense
assist2012,learner_based,0,40.0,14310,2016,4046,dense
assist2012,learner_based,0,41.0,815,127,224,dense
assist2012,learner_based,0,42.0,11819,1556,3347,dense
assist2012,learner_based,0,43.0,34,1,13,sparse
assist2012,learner_based,0,45.0,3,0,1,very_sparse
assist2012,learner_based,0,46.0,10023,1247,3166,dense
assist2012,learner_based,0,47.0,66733,8737,20365,dense
assist2012,learner_based,0,48.0,19262,2704,5707,dense
assist2012,learner_based,0,49.0,21015,2959,6265,dense
assist2012,learner_based,0,50.0,15948,2335,4222,dense
assist2012,learner_based,0,51.0,13762,1974,3843,dense
assist2012,learner_based,0,52.0,183,26,50,medium
assist2012,learner_based,0,53.0,1709,260,477,dense
assist2012,learner_based,0,54.0,24228,3287,7016,dense
assist2012,learner_based,0,58.0,4829,731,1264,dense
assist2012,learner_based,0,61.0,42071,5832,11723,dense
assist2012,learner_based,0,62.0,2964,390,752,dense
assist2012,learner_based,0,63.0,1996,327,563,dense
assist2012,learner_based,0,64.0,970,118,285,dense
assist2012,learner_based,0,65.0,20620,3030,6324,dense
assist2012,learner_based,0,67.0,45601,6541,12488,dense
assist2012,learner_based,0,69.0,4147,553,1070,dense
assist2012,learner_based,0,70.0,17047,2317,4907,dense
assist2012,learner_based,0,74.0,4236,477,1109,dense
assist2012,learner_based,0,75.0,16972,2478,4883,dense
assist2012,learner_based,0,76.0,5469,808,1528,dense
assist2012,learner_based,0,77.0,17976,2772,5571,dense
assist2012,learner_based,0,78.0,5956,704,1898,dense
assist2012,learner_based,0,79.0,40642,5389,11781,dense
assist2012,learner_based,0,80.0,6790,896,1894,dense
assist2012,learner_based,0,81.0,16703,2203,4636,dense
assist2012,learner_based,0,82.0,13675,2083,3833,dense
assist2012,learner_based,0,83.0,31103,4470,9564,dense
assist2012,learner_based,0,84.0,9499,1421,2829,dense
assist2012,learner_based,0,85.0,8774,1254,2478,dense
assist2012,learner_based,0,86.0,32035,4501,8666,dense
assist2012,learner_based,0,88.0,765,111,231,dense
assist2012,learner_based,0,90.0,2329,290,664,dense
assist2012,learner_based,0,91.0,16574,2424,5122,dense
assist2012,learner_based,0,92.0,13284,1836,4452,dense
assist2012,learner_based,0,93.0,181,21,56,medium
assist2012,learner_based,0,94.0,20341,3122,6358,dense
assist2012,learner_based,0,95.0,13969,2084,4168,dense
assist2012,learner_based,0,96.0,4504,561,1341,dense
assist2012,learner_based,0,97.0,315,65,126,medium
assist2012,learner_based,0,98.0,663,114,154,dense
assist2012,learner_based,0,99.0,224,27,64,medium
assist2012,learner_based,0,100.0,115,10,44,medium
assist2012,learner_based,0,101.0,1963,210,538,dense
assist2012,learner_based,0,103.0,7682,1056,2149,dense
assist2012,learner_based,0,104.0,350,56,100,medium
assist2012,learner_based,0,105.0,1730,206,538,dense
assist2012,learner_based,0,106.0,4715,682,1360,dense
assist2012,learner_based,0,110.0,1168,141,373,dense
assist2012,learner_based,0,163.0,420,89,143,medium
assist2012,learner_based,0,165.0,203,19,43,medium
assist2012,learner_based,0,166.0,2075,275,643,dense
assist2012,learner_based,0,172.0,38,0,7,sparse
assist2012,learner_based,0,173.0,339,34,63,medium
