dataset,split_mode,model,seed,auc,acc,nll,rmse,n_nan,note
assist2012,learner_based,bkt,123,0.5,0.29000607481433316,25.59077494777095,0.8426113725708114,75244,
assist2012,learner_based,bkt,2026,0.499984789602172,0.2890981088847895,25.62319045419934,0.8431460697700484,73870,
assist2012,learner_based,bkt,42,0.5,0.289587644585793,25.605856701895977,0.8428596297214661,75080,
assist2012,learner_based,dkt,42,0.6989399535313159,0.7186314705607039,0.5803353995860621,0.43923278524425124,0,
assist2012,temporal,bkt,123,0.500010316933194,0.3124731326601771,24.74577845425147,0.8290510604402779,112775,
assist2012,temporal,bkt,2026,0.500010316933194,0.3124731326601771,24.74577845425147,0.8290510604402779,112775,
assist2012,temporal,bkt,42,0.500010316933194,0.3124731326601771,24.74577845425147,0.8290510604402779,112775,
assist2012,temporal,dkt,42,0.4991591767739604,0.6129230722917635,0.8100110835043668,0.5176589583327557,0,
assist_bkt_test,learner_based,bkt,2024,0.49782794294897553,0.30114942528735633,25.109455796008312,0.8352850707544625,6227,
assist_bkt_test,learner_based,bkt,2025,0.4971830985915493,0.3037865748709122,25.03323113543774,0.8336201457091748,6203,
assist_bkt_test,learner_based,bkt,42,0.4991607894592969,0.3071646341463415,24.92001475596955,0.8320238695567544,6362,
assist_bkt_test,temporal,bkt,2024,0.48498480693693025,0.3454356846473029,22.208033007027453,0.8003500271600568,6555,
assist_bkt_test,temporal,bkt,2025,0.48498480693693025,0.3454356846473029,22.208033007027453,0.8003500271600568,6555,
assist_bkt_test,temporal,bkt,42,0.48498480693693025,0.3454356846473029,22.208033007027453,0.8003500271600568,6555,
assist_gpu_test,learner_based,bkt,2024,0.49782794294897553,0.30114942528735633,25.109455796008312,0.8352850707544625,6227,
assist_gpu_test,learner_based,bkt,2025,0.4971830985915493,0.3037865748709122,25.03323113543774,0.8336201457091748,6203,
assist_gpu_test,learner_based,bkt,42,0.4991607894592969,0.3071646341463415,24.92001475596955,0.8320238695567544,6362,
assist_gpu_test,learner_based,dkt,2024,0.5460712868745332,0.6525491237387148,0.9686658048053393,0.5210476617541012,0,
assist_gpu_test,learner_based,dkt,2025,0.5401183124174517,0.648336727766463,1.0224128902718848,0.5285281898236363,0,
assist_gpu_test,learner_based,dkt,42,0.5491931085936288,0.6463382851185823,0.9996786334445141,0.523980374156381,0,
assist_gpu_test,learner_based,simplekt,2024,0.5549015775326187,0.6354221986192247,1.4208953369017798,0.5536517875282141,0,
assist_gpu_test,learner_based,simplekt,2025,0.5519890161619881,0.6404616429056348,1.4582941510139364,0.5528329600289292,0,
assist_gpu_test,learner_based,simplekt,42,0.5564772769140078,0.6257492832942403,1.4469655920130589,0.5588702205916257,0,
assist_gpu_test,temporal,bkt,2024,0.48498480693693025,0.3454356846473029,22.208033007027453,0.8003500271600568,6555,
assist_gpu_test,temporal,bkt,2025,0.48498480693693025,0.3454356846473029,22.208033007027453,0.8003500271600568,6555,
assist_gpu_test,temporal,bkt,42,0.48498480693693025,0.3454356846473029,22.208033007027453,0.8003500271600568,6555,
assist_gpu_test,temporal,dkt,2024,0.5033914754933858,0.6418406703019018,0.9207784257962307,0.5292741277802081,0,
assist_gpu_test,temporal,dkt,2025,0.49844440044088945,0.6387817528926719,0.9342948858991655,0.5319242945297944,0,
assist_gpu_test,temporal,dkt,42,0.502580816715834,0.6406437026200292,0.9301869305929963,0.5297664138249348,0,
assist_gpu_test,temporal,simplekt,2024,0.49803240073709226,0.6248171299374917,1.4102421223450807,0.5629254230544176,0,
assist_gpu_test,temporal,simplekt,2025,0.49601459965713346,0.6245511371192978,1.4340514680765273,0.5639694317556877,0,
assist_gpu_test,temporal,simplekt,42,0.4904018887376679,0.6204282484372922,1.4430648316754677,0.565346380837204,0,
junyi_bkt_test,learner_based,bkt,2024,0.5014313743665801,0.40163581575548857,21.53888473040019,0.7736095938534562,15540,
junyi_bkt_test,learner_based,bkt,2025,0.5000139951483487,0.40354671280276816,21.46867493629633,0.7720938367410817,15494,
junyi_bkt_test,learner_based,bkt,42,0.49542049900473606,0.38385205232295894,22.0343891281654,0.7829371160828879,15546,
junyi_bkt_test,temporal,bkt,2024,0.5025651634961824,0.39657503379900855,21.720902364766268,0.7770943441104756,15541,
junyi_bkt_test,temporal,bkt,2025,0.5025651634961824,0.39657503379900855,21.720902364766268,0.7770943441104756,15541,
junyi_bkt_test,temporal,bkt,42,0.5025651634961824,0.39657503379900855,21.720902364766268,0.7770943441104756,15541,
xes_bkt_test,learner_based,bkt,2024,0.5016089677267527,0.34021819722487023,23.771622420175788,0.8125465937118026,5159,
xes_bkt_test,learner_based,bkt,2025,0.5010114894220553,0.300337803255195,25.198656566528822,0.836611085452357,5213,
xes_bkt_test,learner_based,bkt,42,0.5013895119310565,0.3280121626757887,24.20930471912371,0.8199804393658469,5346,
xes_bkt_test,temporal,bkt,2024,0.49373570265188266,0.34078839869281047,22.163720876433935,0.820240280434373,5442,
xes_bkt_test,temporal,bkt,2025,0.49373570265188266,0.34078839869281047,22.163720876433935,0.820240280434373,5442,
xes_bkt_test,temporal,bkt,42,0.49373570265188266,0.34078839869281047,22.163720876433935,0.820240280434373,5442,
xes_dkt_test,learner_based,dkt,2024,0.8478318872256021,0.8286986301369863,0.3953073638557075,0.3536356785239961,0,
xes_dkt_test,learner_based,dkt,2025,0.8610049058884014,0.8608997463623014,0.34770303095737987,0.32482164041199535,0,
xes_dkt_test,learner_based,dkt,42,0.8668295221342716,0.8528040327662256,0.3579104791667883,0.3326564497530435,0,
xes_dkt_test,temporal,dkt,2024,0.49953529693802806,0.656754627806223,0.7043048087580683,0.48405697593774594,0,
xes_dkt_test,temporal,dkt,2025,0.49922563337429315,0.6507155047919129,0.7374197579754064,0.4871133871076314,0,
xes_dkt_test,temporal,dkt,42,0.5015064145030561,0.6771694893002494,0.6866584810911915,0.47161333848687,0,
xes_gpu_test,learner_based,bkt,2024,0.5016089677267527,0.34021819722487023,23.771622420175788,0.8125465937118026,5159,
xes_gpu_test,learner_based,bkt,2025,0.5010114894220553,0.300337803255195,25.198656566528822,0.836611085452357,5213,
xes_gpu_test,learner_based,bkt,42,0.5013895119310565,0.3280121626757887,24.20930471912371,0.8199804393658469,5346,
xes_gpu_test,learner_based,dkt,2024,0.8478318872256021,0.8286986301369863,0.3953073638557075,0.3536356785239961,0,
xes_gpu_test,learner_based,dkt,2025,0.8610049058884014,0.8608997463623014,0.34770303095737987,0.32482164041199535,0,
xes_gpu_test,learner_based,dkt,42,0.8668295221342716,0.8528040327662256,0.3579104791667883,0.3326564497530435,0,
xes_gpu_test,learner_based,simplekt,2024,0.8609109378449485,0.8307534246575342,0.4012068045036785,0.35266400049300056,0,
xes_gpu_test,learner_based,simplekt,2025,0.8680430362758647,0.8575624082232012,0.3548514871643944,0.32748849081868286,0,
xes_gpu_test,learner_based,simplekt,42,0.8726595426561126,0.8346565847511027,0.3840216657067316,0.34631411501255793,0,
xes_gpu_test,temporal,bkt,2024,0.49373570265188266,0.34078839869281047,22.163720876433935,0.820240280434373,5442,
xes_gpu_test,temporal,bkt,2025,0.49373570265188266,0.34078839869281047,22.163720876433935,0.820240280434373,5442,
xes_gpu_test,temporal,bkt,42,0.49373570265188266,0.34078839869281047,22.163720876433935,0.820240280434373,5442,
xes_gpu_test,temporal,dkt,2024,0.49953529693802806,0.656754627806223,0.7043048087580683,0.48405697593774594,0,
