dataset,split_mode,model,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std
assist2012,learner_based,bkt,0.4999969579204344,6.802296701638239e-06,0.28965710953700835,0.0003760605063126764,25.60329075070664,0.01343928063885464,0.8428176148709208,0.0002216330801134946
assist2012,learner_based,dkt,0.6986658843181895,0.0010188510910313932,0.7185109702838103,0.00034821896979607826,0.580149692749273,0.0002933234979637695,0.43919395209217577,6.207690278274216e-05
assist2012,learner_based,simplekt,0.6826998021991625,0.0008042989417935006,0.6992086805332446,0.0008809862962122645,0.6954256734839802,0.004774790624063901,0.46081720619538485,0.0009173059713757039
assist2012,temporal,bkt,0.500010316933194,0.0,0.3124731326601771,0.0,24.745778454251468,0.0,0.8290510604402779,0.0
assist2012,temporal,dkt,0.4991591767739604,,0.6129230722917635,,0.8100110835043668,,0.5176589583327557,
assist2012,temporal,simplekt,0.5014727003985071,,0.5771186775516041,,1.0974100242268519,,0.5538443658001342,
assist_bkt_test,learner_based,bkt,0.49805727699994057,0.0010085935119224622,0.3040335447682034,0.003015199827860404,25.020900562471866,0.09532056013784054,0.833643028673464,0.0016307210170731874
assist_bkt_test,temporal,bkt,0.48498480693693025,0.0,0.34543568464730284,0.0,22.208033007027453,0.0,0.8003500271600568,0.0
assist_gpu_test,learner_based,bkt,0.49805727699994057,0.0010085935119224622,0.3040335447682034,0.003015199827860404,25.020900562471866,0.09532056013784054,0.833643028673464,0.0016307210170731874
assist_gpu_test,learner_based,dkt,0.5451275692952046,0.004610415768880312,0.64907471220792,0.0031705038823831764,0.996919109507246,0.026979594665363333,0.5245187419113728,0.003769211446640582
assist_gpu_test,learner_based,simplekt,0.5544559568695382,0.002277071469245824,0.6338777082730332,0.00747679538009814,1.4420516933095915,0.019177529157841624,0.5551183227162563,0.003274930971607964
assist_gpu_test,temporal,bkt,0.48498480693693025,0.0,0.34543568464730284,0.0,22.208033007027453,0.0,0.8003500271600568,0.0
assist_gpu_test,temporal,dkt,0.5014722308833698,0.0026533205243078448,0.640422041938201,0.0015414584076529278,0.9284200807627975,0.006929285112507123,0.5303216120449791,0.0014096204268555469
assist_gpu_test,temporal,simplekt,0.4948162963772979,0.003953874859702603,0.6232655051646939,0.002460733091524273,1.4291194740323585,0.016958065511300396,0.5640804118824364,0.001214288510984207
junyi,learner_based,bkt,0.5,0.0,0.2960517785180596,0.0,25.372865698980526,0.0,0.8390162224188162,0.0
junyi,learner_based,dkt,0.7326851543549266,0.00016804925439956367,0.7332674726569597,8.435906661508183e-06,0.5443116484735807,0.00013106467086692052,0.4252926322815349,5.59399916073115e-05
junyi,learner_based,simplekt,0.726001479150318,0.0010481397100112375,0.7285071804350047,6.186331551738648e-05,0.5942592354823661,0.0011854437402711224,0.4319769738964462,2.2002020273852306e-05
junyi,temporal,bkt,0.5000521464566869,,0.3012433147496738,,25.177489096092135,,0.8359026933189002,
junyi,temporal,dkt,0.5003439238620192,,0.6236991287697168,,0.8315909330586013,,0.5165309658413278,
junyi,temporal,simplekt,0.4997972176310175,,0.5999485062971865,,0.9902763460429759,,0.531714404217783,
junyi_bkt_test,learner_based,bkt,0.49895528950655493,0.0031421805932951036,0.39634486029373855,0.010861195612243003,21.680649598287307,0.308352225621622,0.7762135155591419,0.0058719232716475675
junyi_bkt_test,temporal,bkt,0.5025651634961824,0.0,0.39657503379900855,0.0,21.72090236476627,0.0,0.7770943441104756,0.0
xes3g5m,learner_based,bkt,0.5000031991605403,0.0,0.41782489861105293,0.0,20.983720148187754,0.0,0.7630046085252116,0.0
xes3g5m,learner_based,dkt,0.9173733575470817,0.0003223434538851973,0.865383901406102,0.00038044124224946693,0.3130148001632269,0.0001472414839657717,0.31224531387453525,0.00024520489992135565
xes3g5m,learner_based,simplekt,0.8888060017143775,0.0001482636851936184,0.8447098911678922,0.0003777714791459425,0.49167331414631044,0.0006824647986096098,0.35086791128917283,0.0002572395971615106
xes3g5m,temporal,bkt,0.49996890791010223,,0.33725496011150985,,22.401491513694808,,0.8214091975274048,
xes3g5m,temporal,dkt,0.49916454887114203,,0.6598872350844857,,0.8682712042663717,,0.4925410528839153,
xes3g5m,temporal,simplekt,0.49966483339417567,,0.6551416539315276,,1.2517280557507455,,0.5206916099166204,
xes_bkt_test,learner_based,bkt,0.5013366563599548,0.0003022256850325145,0.32285605438528464,0.02043405357049063,24.39319456860944,0.7310733350849934,0.8230460395100021,0.012321662585287987
xes_bkt_test,temporal,bkt,0.49373570265188266,0.0,0.34078839869281047,0.0,22.16372087643394,0.0,0.820240280434373,0.0
xes_dkt_test,learner_based,dkt,0.8585554384160917,0.009732802844206842,0.8474674697551711,0.016750735808234784,0.3669736246599586,0.02506289253750412,0.337037922896345,0.014898328035691195
xes_dkt_test,temporal,dkt,0.5000891149384591,0.001237144463080763,0.661546540632795,0.013862725038567517,0.7094610159415554,0.025770461038139462,0.48092790051074913,0.008210128597188282
xes_gpu_test,learner_based,bkt,0.5013366563599548,0.0003022256850325145,0.32285605438528464,0.02043405357049063,24.39319456860944,0.7310733350849934,0.8230460395100021,0.012321662585287987
xes_gpu_test,learner_based,dkt,0.8585554384160917,0.009732802844206842,0.8474674697551711,0.016750735808234784,0.3669736246599586,0.02506289253750412,0.337037922896345,0.014898328035691195
xes_gpu_test,learner_based,simplekt,0.8672045055923085,0.005919018418004445,0.8409908058772794,0.014483513659072094,0.3800266524582681,0.02343446093999139,0.3421555354414138,0.013092819019507183
xes_gpu_test,temporal,bkt,0.49373570265188266,0.0,0.34078839869281047,0.0,22.16372087643394,0.0,0.820240280434373,0.0
xes_gpu_test,temporal,dkt,0.5000891149384591,0.001237144463080763,0.661546540632795,0.013862725038567517,0.7094610159415554,0.025770461038139462,0.48092790051074913,0.008210128597188282
xes_gpu_test,temporal,simplekt,0.5043335635384619,0.0026653810299830222,0.5931469082315872,0.035817310460636825,0.8073427399800036,0.05532777201172479,0.5198927030024705,0.021505236550901485
xes_simplekt_test,learner_based,simplekt,0.86731225548461,0.005986833840603324,0.8409677358543856,0.012969577545004492,0.3796412551265291,0.022597301540971913,0.34211280630746194,0.012097844236625525
xes_simplekt_test,temporal,simplekt,0.5042723149049586,0.00284497379308564,0.5950943065948974,0.0337396365866074,0.8059756443625856,0.053855169893718365,0.5193215001211068,0.02057363542908734
