Dataset,Model,Bucket,Rel.,Events,ECE,Brier,UNC,REL,RES
ASSISTments 2012,BKT,dense,R,"458,732",0.7113 \pm 0.0006,0.7113 \pm 0.0006,0.2054,0.5059,0.0000
,,medium,R,"2,827",0.5646 \pm 0.0217,0.5646 \pm 0.0217,0.2454,0.3192,0.0000
,,sparse,I,30,0.4908 \pm 0.0606,0.4908 \pm 0.0606,0.2470,0.2438,0.0000
,,very\_sparse,I,3,0.4667 \pm 0.0577,0.4000 \pm 0.1732,0.1667,0.2333,0.0000
,DKT,dense,R,"530,911",0.0587 \pm 0.0013,0.1926 \pm 0.0001,0.2103,0.0049,0.0225
,,medium,R,"5,650",0.1457 \pm 0.0071,0.2195 \pm 0.0070,0.2480,0.0244,0.0519
,,sparse,L,443,0.2165 \pm 0.0232,0.2517 \pm 0.0172,0.2454,0.0536,0.0464
,,very\_sparse,I,10,0.1780 \pm 0.0946,0.1268 \pm 0.0883,0.2394,0.1079,0.2208
,SimpleKT,dense,R,"530,911",0.1164 \pm 0.0011,0.2122 \pm 0.0009,0.2103,0.0205,0.0185
,,medium,R,"5,650",0.1559 \pm 0.0051,0.2257 \pm 0.0070,0.2480,0.0277,0.0491
,,sparse,L,443,0.2297 \pm 0.0046,0.2637 \pm 0.0052,0.2454,0.0593,0.0403
,,very\_sparse,I,10,0.3231 \pm 0.0728,0.2556 \pm 0.0829,0.2394,0.1827,0.1631
Junyi Academy,BKT,dense,R,"2,918,783",0.7041,0.7041,0.2083,0.4958,0.0000
,,medium,R,"4,128",0.5693,0.5693,0.2452,0.3241,0.0000
,DKT,dense,R,"3,264,405",0.0410 \pm 0.0006,0.1807 \pm 0.0000,0.2081,0.0024,0.0297
,,medium,R,"4,617",0.2399 \pm 0.0063,0.3018 \pm 0.0054,0.2452,0.0672,0.0101
,SimpleKT,dense,R,"3,264,405",0.0752 \pm 0.0007,0.1865 \pm 0.0000,0.2081,0.0072,0.0286
,,medium,R,"4,617",0.0927 \pm 0.0031,0.2268 \pm 0.0034,0.2452,0.0113,0.0292
XES3G5M,BKT,dense,R,"767,845",0.8119,0.8119,0.1527,0.6591,0.0000
,,medium,R,"2,030",0.8473,0.8473,0.1294,0.7179,0.0000
,,sparse,I,80,0.6250,0.6250,0.2344,0.3906,0.0000
,,very\_sparse,I,6,0.5000,0.3333,0.1389,0.2500,0.0556
,DKT,dense,R,"1,267,014",0.0371 \pm 0.0004,0.1203 \pm 0.0002,0.1595,0.0024,0.0411
,,medium,R,"13,137",0.0773 \pm 0.0054,0.1141 \pm 0.0017,0.1653,0.0098,0.0600
,,sparse,R,"2,164",0.1077 \pm 0.0043,0.1356 \pm 0.0040,0.1856,0.0158,0.0649
,,very\_sparse,L,107,0.1579 \pm 0.0146,0.1499 \pm 0.0172,0.2018,0.0443,0.0931
,SimpleKT,dense,R,"1,267,014",0.1137 \pm 0.0009,0.1522 \pm 0.0003,0.1595,0.0173,0.0236
,,medium,R,"13,137",0.1051 \pm 0.0051,0.1296 \pm 0.0032,0.1653,0.0155,0.0502
,,sparse,R,"2,164",0.1195 \pm 0.0066,0.1430 \pm 0.0017,0.1856,0.0196,0.0613
,,very\_sparse,L,107,0.1783 \pm 0.0131,0.1672 \pm 0.0091,0.2018,0.0619,0.0958
