dataset,split_mode,model,bucket,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,uncertainty_std,reliability_mean,reliability_std,resolution_mean,resolution_std,dataset_sort,model_sort,bucket_sort
assist2012,temporal,irt_1pl,dense,0.5916959535972397,0.0,0.6928829258848179,0.0,0.6031964490857261,0.0,0.45544910475362327,0.0,0.019424452426537644,0.0,0.2074338870208769,0.0,0.21384905663077133,0.0,0.0006573140279035085,0.0,0.006934930602122204,0.0,0,0,0.0
assist2012,temporal,irt_1pl,medium,0.5332490785076992,0.0,0.6037735849056604,0.0,0.6796515000764624,0.0,0.4924109542116206,0.0,0.08533675348987342,0.0,0.24246854782759872,0.0,0.23474303506788138,0.0,0.010088887044641465,0.0,0.0027434312085938524,0.0,0,0,1.0
assist2012,temporal,irt_1pl,sparse,0.6486042123566931,0.0,0.5891089108910891,0.0,0.6788703288418103,0.0,0.49185133698443273,0.0,0.13737080951828998,0.0,0.241917737693374,0.0,0.23402237253428315,0.0,0.026051270524659255,0.0,0.017894323879921844,0.0,0,0,2.0
assist2012,temporal,irt_1pl,very_sparse,0.7379619801215863,0.0,0.5302491103202847,0.0,0.66801022736157,0.0,0.4874855807490895,0.0,0.2491675932871977,0.0,0.23764219143827703,0.0,0.20415423085095455,0.0,0.06735828032459883,0.0,0.03308343721656472,0.0,0,0,3.0
assist2012,temporal,irt_1pl,strict_cold_start,0.5,0.0,0.503909026297086,0.0,0.7794413042193448,0.0,0.5380095463886179,0.0,0.1986694553570768,0.0,0.28945427200528634,0.0,0.2499847195134087,0.0,0.03946955249187754,0.0,0.0,0.0,0,0,
assist2012,temporal,dkt,dense,0.6619193965278228,0.0,0.6942458799871948,0.0,0.6256443802774595,0.0,0.45695015169896824,0.0,0.08115533748770612,0.0,0.2088034411377101,0.0,0.21384905663077133,0.0,0.010419636561347674,0.0,0.015375568544869994,0.0,0,1,0.0
assist2012,temporal,dkt,medium,0.5637103044738513,0.0,0.5432207108380869,0.0,1.1555974911980698,0.0,0.5818080763099087,0.0,0.27957048266024637,0.0,0.3385006376594366,0.0,0.23474303506788138,0.0,0.10677576019369125,0.0,0.0036079372064627777,0.0,0,1,1.0
assist2012,temporal,dkt,sparse,0.6244382221196201,0.0,0.5742574257425742,0.0,1.3583734258826832,0.0,0.5858782533133411,0.0,0.31493203225933997,0.0,0.34325332770549144,0.0,0.23402237253428315,0.0,0.12282178596741992,0.0,0.012683719546132668,0.0,0,1,2.0
assist2012,temporal,dkt,very_sparse,0.5970761362539805,0.0,0.4863582443653618,0.0,1.6419237261977808,0.0,0.6298694951396805,0.0,0.35526324769709555,0.0,0.39673558090751604,0.0,0.20415423085095455,0.0,0.21000887817517844,0.0,0.016211044574454436,0.0,0,1,3.0
assist2012,temporal,dkt,strict_cold_start,0.5054679701423773,0.0,0.5138592750533049,0.0,0.6979439134749758,0.0,0.5023298361385461,0.0,0.05977811733712182,0.0,0.2523352642749786,0.0,0.2499847195134087,0.0,0.0046186085458830755,0.0,0.0026347724230073766,0.0,0,1,
assist2012,temporal,simplekt,dense,0.6745145614790187,0.0,0.6817799298778325,0.0,0.7555906086142046,0.0,0.47534298083008764,0.0,0.1454328430965499,0.0,0.22595094942443306,0.0,0.21384905663077133,0.0,0.029708887865117602,0.0,0.017414967792207695,0.0,0,2,0.0
assist2012,temporal,simplekt,medium,0.6084006305681182,0.0,0.5838086880210619,0.0,0.9635681364057291,0.0,0.5420104090718536,0.0,0.2277191467671695,0.0,0.29377528354223803,0.0,0.23474303506788138,0.0,0.067740009515289,0.0,0.008937558337208606,0.0,0,2,1.0
assist2012,temporal,simplekt,sparse,0.6117072276191788,0.0,0.6023102310231023,0.0,1.6743802562834977,0.0,0.5799557582071481,0.0,0.3069117575096916,0.0,0.33634868147762803,0.0,0.23402237253428315,0.0,0.11200182615770224,0.0,0.009321781268639648,0.0,0,2,2.0
assist2012,temporal,simplekt,very_sparse,0.5616995905763636,0.0,0.5005931198102017,0.0,2.0213136386177943,0.0,0.6459295330903457,0.0,0.3878599389522039,0.0,0.41722496171831197,0.0,0.20415423085095455,0.0,0.23218267711898946,0.0,0.018908080832925712,0.0,0,2,3.0
