dataset,split,n_events,n_learners,n_kcs,n_items,correctness_rate
assist2012,train,1860242,21198,237,43352,0.7025784817244208
assist2012,valid,265749,8640,225,33149,0.667949832360611
assist2012,test,531499,11384,245,38761,0.6887444755305278
assist2012,test_bucket_unknown,531499,11384,245,38761,0.6887444755305278
junyi,train,11350896,55782,1322,24659,0.708127006009041
junyi,valid,1621556,19370,1320,23303,0.6822934268073382
junyi,test,3243115,28339,1323,23831,0.6992129480453206
junyi,test_bucket_dense,3072767,27698,1235,22323,0.7072667729118414
junyi,test_bucket_medium,151597,3322,78,1353,0.5454527464263804
junyi,test_bucket_sparse,16206,990,6,146,0.6394545230161669
junyi,test_bucket_very_sparse,2545,131,4,67,0.5147347740667977
xes3g5m,train,5567596,18029,727,5938,0.5682055594551041
xes3g5m,valid,795370,17331,590,3365,0.8344594339741253
xes3g5m,test,1590743,16383,550,2828,0.8023137615567065
xes3g5m,test_bucket_unknown,1590743,16383,550,2828,0.8023137615567065
