dataset,model,seed,fold,tau,sparse_n,sparse_flag,sparse_n_advance,dense_n,FM_sparse,FM_dense,dFM,Miss_sparse,Miss_dense,dMiss
xes3g5m,dkt,42,0,0.7,2164,R,1623,1267014,0.12692544670363523,0.1090645481956286,0.017860898508006637,0.38649155722326456,0.4189897437319505,-0.03249818650868597
xes3g5m,simplekt,42,0,0.7,2164,R,1611,1267014,0.1266294227188082,0.13851392069422683,-0.011884497975418629,0.3827392120075047,0.5645384283229873,-0.18179921631548257
xes3g5m,dkt,2024,1,0.7,2014,R,1503,1269206,0.10645375914836992,0.11159402938244031,-0.00514027023407039,0.3404255319148936,0.41674600390840305,-0.07632047199350944
xes3g5m,simplekt,2024,1,0.7,2014,R,1471,1269206,0.10808973487423522,0.14004326382960708,-0.03195352895537186,0.3382978723404255,0.5482248372462333,-0.20992696490580776
xes3g5m,dkt,2025,2,0.7,1907,R,1403,1270099,0.12188168210976479,0.1109736299873041,0.010908052122460682,0.35330578512396693,0.4086850213848819,-0.055379236260914955
xes3g5m,simplekt,2025,2,0.7,1907,R,1441,1270099,0.14018043025676613,0.14061835025628822,-0.00043791999952208505,0.41735537190082644,0.5457667131666488,-0.12841134126582238
xes3g5m,dkt,2026,3,0.7,1907,R,1410,1270099,0.12340425531914893,0.11026482306069839,0.013139432258450545,0.359504132231405,0.4039059984976929,-0.04440186626628789
xes3g5m,simplekt,2026,3,0.7,1907,R,1415,1270099,0.12367491166077739,0.14136469540932786,-0.017689783748550472,0.3615702479338843,0.5501624944429967,-0.18859224650911238
xes3g5m,dkt,2027,4,0.7,1792,R,1299,1271061,0.10854503464203233,0.11176513169460502,-0.0032200970525726874,0.31194690265486724,0.41292279713760655,-0.1009758944827393
xes3g5m,simplekt,2027,4,0.7,1792,R,1285,1271061,0.1198443579766537,0.14102541371158392,-0.021181055734930218,0.3407079646017699,0.5469914686003996,-0.2062835039986297
