kc_id,test_events,ECE,dataset,split,fold,train_freq,log_train_freq,n_train_learners,n_train_items,train_correct_rate,difficulty_proxy,median_sequence_position_train
0,1624,0.23312406131467672,xes3g5m,learner_based,0,5381,8.590815331286851,3402,16,0.7219847611968035,0.27801523880319645,0.2913752913752914
1,1660,0.17742497162121004,xes3g5m,learner_based,0,5941,8.689801056022553,5483,11,0.7761319643157718,0.2238680356842282,0.7578947368421053
10,8033,0.12573557698609372,xes3g5m,learner_based,0,27284,10.214092379620332,9224,47,0.7381249083712066,0.2618750916287934,0.3536604688009693
100,608,0.11927572764800151,xes3g5m,learner_based,0,2031,7.616775808698373,1102,18,0.7552929591334318,0.24470704086656825,0.7873417721518987
101,2022,0.15305684754969487,xes3g5m,learner_based,0,7186,8.880029117468442,3511,15,0.7115224046757584,0.28847759532424155,0.7905271872663178
102,6854,0.03965758384388611,xes3g5m,learner_based,0,24291,10.097902357017466,4213,39,0.8146226997653452,0.18537730023465482,0.6286701208981001
103,489,0.03979108834888502,xes3g5m,learner_based,0,1778,7.483806687665835,1081,12,0.7671541057367829,0.2328458942632171,0.7554294228625332
104,8837,0.08292710452157276,xes3g5m,learner_based,0,32065,10.375551557748782,4139,51,0.8196475908311243,0.18035240916887574,0.7914572864321608
105,677,0.10950748492258414,xes3g5m,learner_based,0,2405,7.785720896534624,1728,9,0.7226611226611227,0.2773388773388773,0.8076923076923077
106,8156,0.07707144835664215,xes3g5m,learner_based,0,27954,10.238351353460745,9352,36,0.9090291192673678,0.09097088073263215,0.7063063063063063
107,952,0.14850288907387843,xes3g5m,learner_based,0,3527,8.168486417126681,1965,13,0.7280975333144315,0.2719024666855685,0.787746170678337
108,9869,0.14792243214233056,xes3g5m,learner_based,0,34327,10.44371662667136,10259,29,0.8173158155387887,0.18268418446121126,0.20446096654275092
109,8862,0.17296172616810684,xes3g5m,learner_based,0,31486,10.3573300412176,7967,17,0.796068093755955,0.203931906244045,0.16782412989309542
11,3890,0.08001962368656454,xes3g5m,learner_based,0,13197,9.487820581943367,8336,24,0.811472304311586,0.188527695688414,0.3067484662576687
110,212,0.09905615990542571,xes3g5m,learner_based,0,755,6.628041376179533,646,4,0.8516556291390729,0.1483443708609271,0.8753709198813057
111,288,0.17283944320411404,xes3g5m,learner_based,0,1026,6.934397209928558,1000,3,0.8235867446393762,0.1764132553606238,0.4008967928256574
112,3943,0.1199198853146099,xes3g5m,learner_based,0,14011,9.547669384317377,4058,41,0.7660409678110056,0.2339590321889944,0.8251192368839427
113,227,0.020429899897593792,xes3g5m,learner_based,0,806,6.693323668269949,728,2,0.9230769230769231,0.07692307692307687,0.8492527615334633
114,3153,0.090799184155287,xes3g5m,learner_based,0,11081,9.313077449427295,3949,18,0.7480371807598593,0.25196281924014075,0.8257575757575758
115,1122,0.00012143110702769215,xes3g5m,learner_based,0,3997,8.293549515060345,2378,7,0.7348011008256192,0.2651988991743808,0.8210735586481114
116,895,0.25044408133019325,xes3g5m,learner_based,0,3065,8.028129059431759,2220,7,0.6740619902120718,0.3259380097879282,0.8055077452667814
117,2021,0.09780694976744833,xes3g5m,learner_based,0,6937,8.844768827529695,4075,33,0.7955888712700014,0.20441112872999856,0.3439306358381503
118,1653,0.17803035572247836,xes3g5m,learner_based,0,5697,8.647870515057853,2840,16,0.6987888362295945,0.30121116377040547,0.8457446808510638
119,2532,0.16164735259854257,xes3g5m,learner_based,0,8738,9.075551045627543,5464,13,0.8117418173495079,0.1882581826504921,0.10338167758799077
12,2914,0.09836882850545933,xes3g5m,learner_based,0,10023,9.212737496575905,4503,21,0.6900129701686122,0.3099870298313878,0.28113879003558717
120,445,0.16360413004560664,xes3g5m,learner_based,0,1588,7.370860166536716,1122,8,0.7840050377833753,0.21599496221662473,0.8361590038314176
121,3722,0.12190804115470147,xes3g5m,learner_based,0,13254,9.492130118723125,7666,22,0.828881846989588,0.171118153010412,0.26645252433591815
122,483,0.14577484671142166,xes3g5m,learner_based,0,1576,7.3632795869630385,1126,6,0.8153553299492385,0.18464467005076146,0.8846153846153846
123,5624,0.12048371074851046,xes3g5m,learner_based,0,19408,9.873492155000728,3116,25,0.7469084913437758,0.2530915086562242,0.8625429553264605
124,4047,0.020559608360304578,xes3g5m,learner_based,0,13987,9.545955098183267,2755,20,0.7288196182169157,0.27118038178308435,0.8630705394190872
125,717,0.24189565631377832,xes3g5m,learner_based,0,2440,7.80016307039296,2041,4,0.5856557377049181,0.4143442622950819,0.8857505438723713
126,454,0.3133927175804596,xes3g5m,learner_based,0,1478,7.2991214627108,1426,3,0.4580514208389716,0.5419485791610283,0.8914367646404548
127,2879,0.14179887463794472,xes3g5m,learner_based,0,9648,9.174609562020384,3519,21,0.7399461028192371,0.2600538971807629,0.8865979381443299
128,1699,0.1646207410361445,xes3g5m,learner_based,0,5727,8.653121708640482,3185,16,0.643443338571678,0.356556661428322,0.8910675381263616
129,353,0.09490161290934684,xes3g5m,learner_based,0,1256,7.136483208590247,853,3,0.839968152866242,0.16003184713375795,0.8950592349680306
13,1392,0.17809155126418064,xes3g5m,learner_based,0,4763,8.46884293047519,3363,9,0.7984463573378123,0.20155364266218767,0.2733485193621868
130,1403,0.16361836268528707,xes3g5m,learner_based,0,4869,8.490849216076635,3093,5,0.7081536249743273,0.2918463750256727,0.9155172413793103
131,3035,0.08054170473854641,xes3g5m,learner_based,0,10297,9.239704980606087,2674,12,0.8365543362144314,0.16344566378556857,0.9431524547803618
132,4061,0.1793424198973364,xes3g5m,learner_based,0,13713,9.52617248784431,7001,33,0.7361627652592431,0.26383723474075693,0.5364963503649635
133,2228,0.20104089098303363,xes3g5m,learner_based,0,7604,8.936561204693394,4610,19,0.7769594950026302,0.22304050499736983,0.6454849498327759
134,2461,0.12225545302497903,xes3g5m,learner_based,0,8664,9.067047202149707,4620,18,0.7484995383194829,0.2515004616805171,0.89535944730496
135,4009,0.10800457415518264,xes3g5m,learner_based,0,14311,9.568853625188556,4864,24,0.79756830410174,0.20243169589826004,0.9226594301221167
136,103,0.051447902740548904,xes3g5m,learner_based,0,387,5.961005339623274,259,5,0.7338501291989664,0.2661498708010336,0.9564356435643564
137,644,0.08350077731916625,xes3g5m,learner_based,0,2127,7.662937850461535,943,5,0.8707099200752233,0.1292900799247767,0.9781021897810219
138,18054,0.11068825309860812,xes3g5m,learner_based,0,65152,11.084493629075336,11212,108,0.7788095530451866,0.22119044695481338,0.7112235651474736
139,6201,0.08509223653601711,xes3g5m,learner_based,0,21267,9.964958874624228,9359,44,0.8377298161470823,0.1622701838529177,0.17549668874172186
14,7642,0.03448022832927422,xes3g5m,learner_based,0,27046,10.205331372394003,7860,37,0.8545810840789766,0.1454189159210234,0.9295493595751327
140,10052,0.1501891912264846,xes3g5m,learner_based,0,34870,10.459410817205152,10079,52,0.7742472039002007,0.22575279609979926,0.7569145771355716
