covariate,coef_std,SE,t,p,CI_lo,CI_hi,n,weighted,dataset,model
log_train_freq,-0.02768791388668934,0.0071905373480381,-3.85060427983784,0.00011782674771732005,-0.041781367088844015,-0.013594460684534664,829,True,xes3g5m,simplekt
difficulty_proxy,0.0799142587942449,0.004092444178736527,19.52726910960996,0.0,0.0718930682039213,0.08793544938456849,829,True,xes3g5m,simplekt
n_train_items,-0.0073125147630209286,0.0013298452366093208,-5.498771256770824,3.8244686528798866e-08,-0.009919011426775197,-0.00470601809926666,829,True,xes3g5m,simplekt
n_train_learners,0.013151102644289417,0.00393622115988901,3.3410476978026913,0.0008346288317282458,0.005436109170906957,0.020866096117671876,829,True,xes3g5m,simplekt
median_sequence_position_train,-0.014002987449540169,0.002319145336030974,-6.037994787124952,1.560411133638695e-09,-0.01854851230816088,-0.009457462590919459,829,True,xes3g5m,simplekt
log_train_freq,-0.008188659404126058,0.01181024997687512,-0.6933519121237686,0.4880887324338783,-0.03133674935880129,0.014959430550549177,829,False,xes3g5m,simplekt
difficulty_proxy,0.0698391414716131,0.0064991825938188,10.74583464358045,0.0,0.05710074358772826,0.08257753935549796,829,False,xes3g5m,simplekt
n_train_items,-0.008807177400145838,0.0024176728158414955,-3.6428326208732305,0.00026965419200797314,-0.01354581611919517,-0.0040685386810965065,829,False,xes3g5m,simplekt
n_train_learners,0.007008228721084126,0.008251699516291258,0.8493073102392836,0.3957103141804321,-0.00916510233084674,0.02318155977301499,829,False,xes3g5m,simplekt
median_sequence_position_train,-0.017354797414003198,0.004020724663749689,-4.316335701987184,1.5864065925796922e-05,-0.02523541775495259,-0.009474177073053808,829,False,xes3g5m,simplekt
