dataset,model,seed,fold,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
xes3g5m,irt_1pl,42,0,dense,498,1267014,0.5,0.8007670002067854,0.4994295153535331,0.39946093368028446,0.005461313954814528,0.15956903753672463,0.15953921158661158,2.98259501130519e-05,0.0
xes3g5m,irt_1pl,42,0,medium,172,13137,0.5,0.7909720636370556,0.5127232898330534,0.4066374779428991,0.004333622614915211,0.16535403846776175,0.16533525818279324,1.8780284968504553e-05,0.0
xes3g5m,irt_1pl,42,0,sparse,122,2164,0.5,0.7536968576709797,0.5633135288063267,0.432861639584467,0.04160882858099102,0.187369199023753,0.18563790440787067,0.0017312946158822952,0.0
xes3g5m,irt_1pl,42,0,very_sparse,37,103,0.5,0.7087378640776699,0.6243322722561525,0.4625175585167482,0.08656782217430048,0.2139224919362936,0.2064285041002922,0.0074939878360013095,0.0
xes3g5m,irt_1pl,42,0,strict_cold_start,3,4,,1.0,0.22902872722445036,0.20469431374802916,0.20469431374802916,0.0418997620807766,0.0,0.0418997620807766,0.0
xes3g5m,dkt,42,0,dense,498,1267014,0.8165549474801496,0.8339592143417516,0.38751776696490453,0.3480890181016727,0.03811151201475178,0.12116596452298661,0.15953921158661158,0.002820379910921053,0.0406631068522024
xes3g5m,dkt,42,0,medium,172,13137,0.8641347458579309,0.8511836796833372,0.41739999296284847,0.3389579738315335,0.0769892282122015,0.11489250802397855,0.16533525818279324,0.009681836828041293,0.05897705874846039
xes3g5m,dkt,42,0,sparse,122,2164,0.8516661816148888,0.8174676524953789,0.6358045633708659,0.37884741505665237,0.12097409752316596,0.14352536389510745,0.18563790440787067,0.019166498880249724,0.05974526761117427
xes3g5m,dkt,42,0,very_sparse,37,103,0.8744292237442922,0.8446601941747572,0.777924575902615,0.3619733834154486,0.14545812411715908,0.13102473030122735,0.2064285041002922,0.03826062551941148,0.11354643386892475
xes3g5m,dkt,42,0,strict_cold_start,3,4,,0.75,0.6905407524010334,0.4986870330338583,0.4981369227170944,0.24868875691611247,0.0,0.24860119025724037,0.0
xes3g5m,simplekt,42,0,dense,498,1267014,0.7513665846746478,0.8095261772955942,0.6303078753233756,0.3920488513729214,0.11585130419579771,0.153702301862827,0.15953921158661158,0.017872367020296685,0.02278903103480726
xes3g5m,simplekt,42,0,medium,172,13137,0.8343091390295667,0.841744690568623,0.5871539324141035,0.3616903869889247,0.10645973326310039,0.13081993604019812,0.16533525818279324,0.015475255284892693,0.04893643444433235
xes3g5m,simplekt,42,0,sparse,122,2164,0.8364658475618384,0.8133086876155268,0.735807479241165,0.39109525227579006,0.1302350868615305,0.15295549635266387,0.18563790440787067,0.022605891246370764,0.054163294502011614
xes3g5m,simplekt,42,0,very_sparse,37,103,0.8335616438356164,0.8349514563106796,1.022118696276904,0.3950255933645096,0.1713433534199512,0.1560452194129829,0.2064285041002922,0.034394649416040125,0.0823044900640558
xes3g5m,simplekt,42,0,strict_cold_start,3,4,,0.5,0.6463325159855016,0.4815517597167895,0.4592488259077072,0.23189209728633653,0.0,0.23179727381663984,0.0
xes3g5m,irt_1pl,2024,1,dense,499,1269206,0.5,0.7955879502618173,0.5064583794418706,0.4032713503795409,0.00013556150259574906,0.16262778203693845,0.16262776366001744,1.837692098601728e-08,0.0
xes3g5m,irt_1pl,2024,1,medium,172,12772,0.5,0.7854682117131224,0.5202189708882383,0.41062521997614065,0.010255300051290495,0.16861307128045389,0.16850790010131192,0.00010517117914199882,0.0
xes3g5m,irt_1pl,2024,1,sparse,121,2014,0.5,0.7666335650446872,0.5458298971581125,0.42397260169935164,0.029089946719725757,0.17975276699171708,0.17890654199156059,0.0008462250001564833,0.0
xes3g5m,irt_1pl,2024,1,very_sparse,40,132,0.5,0.7878787878787878,0.516941123974856,0.4088854890825566,0.007844723885625182,0.16718734318228154,0.16712580348943987,6.153969284169826e-05,0.0
