dataset,model,seed,fold,n_events,auc,acc,nll,rmse
xes3g5m,irt_1pl,42,0,1282422,0.5,0.8005804641529856,0.4996826837343451,0.399598808621198
xes3g5m,dkt,42,0,1282422,0.8168957127992701,0.8341084292066107,0.3882751459116317,0.3480526101368259
xes3g5m,simplekt,42,0,1282422,0.7525151341731011,0.8098636798183437,0.6300753531177364,0.3917487321203162
xes3g5m,irt_1pl,2024,1,1284128,0.5,0.7954401741882429,0.5066593220022164,0.4033797017151492
xes3g5m,dkt,2024,1,1284128,0.818585803124858,0.8320541254454384,0.3913806868098622,0.34984942822491133
xes3g5m,simplekt,2024,1,1284128,0.7542536333536692,0.8055123788282788,0.6285731352736534,0.39477794798236576
xes3g5m,irt_1pl,2025,2,1284877,0.5,0.7943382907468964,0.5081669835718493,0.4041904533420005
xes3g5m,dkt,2025,2,1284877,0.8177109713678619,0.8307090873289816,0.39285561699195615,0.3508234494579172
xes3g5m,simplekt,2025,2,1284877,0.7525220701261122,0.8031959479389856,0.6403174190782105,0.39698318032242746
xes3g5m,irt_1pl,2026,3,1284877,0.5,0.7943382907468964,0.5081669835718493,0.4041904533420005
xes3g5m,dkt,2026,3,1284877,0.8176140225780423,0.830094242483911,0.3935486230280785,0.3512744714016089
xes3g5m,simplekt,2026,3,1284877,0.7536986925206537,0.8036349004612893,0.6339431652429843,0.39634981960380067
xes3g5m,irt_1pl,2027,4,1285862,0.5,0.7938449071517784,0.5088374368782967,0.40455109893264113
xes3g5m,dkt,2027,4,1285862,0.8188864986460546,0.8317354428391227,0.39174736954352746,0.35012433504060153
xes3g5m,simplekt,2027,4,1285862,0.7545787093098107,0.8039735212643347,0.6325421539358804,0.39642005894303595
