split,model,seed,bucket,n_events,auc,acc,ece,brier,reliability,resolution
temporal,irt_1pl,42,all,1282671,0.6422837456691719,0.7859209415352807,0.05112799913024495,0.15756217788840887,0.0077698803699478005,0.00619193912971015
temporal,irt_1pl,42,dense,979858,0.6736195463764516,0.8045094289172513,0.039260240554123214,0.14727704557515328,0.002861847725842189,0.00965011198661905
temporal,irt_1pl,42,medium,93130,0.575101329686312,0.6174379899065822,0.22424628362397694,0.23082637644604873,0.08024405231633965,0.002678199294163912
temporal,irt_1pl,42,sparse,9699,0.7210480496382208,0.8497783276626456,0.13338248229292324,0.12834012473860754,0.019378195991658572,0.011285460585919125
temporal,irt_1pl,42,very_sparse,25058,0.6832935423471576,0.6991379998403704,0.26851801131435216,0.20159291040032654,0.07782626016530982,0.007920541541826392
temporal,irt_1pl,42,strict_cold_start,174926,0.5,0.780387135131427,0.009958097626295848,0.17148221816112574,9.9163708334839e-05,0.0
temporal,dkt,42,all,1282671,0.6210032647395078,0.6909534869035006,0.18051377800589205,0.2104284882382406,0.05874079969977313,0.004220252309145673
temporal,dkt,42,dense,979858,0.6446090825228629,0.7492646893733582,0.1401098911531309,0.18676924211895363,0.03877240532921754,0.006126208659106672
temporal,dkt,42,medium,93130,0.5508361399462698,0.5129818533233115,0.37339020146599927,0.36516949903083745,0.2136869565172248,0.001253909290770634
temporal,dkt,42,sparse,9699,0.5726157266684312,0.8534900505206723,0.12757152569981386,0.13725631374339883,0.01805759234452026,0.0008744984380415251
temporal,dkt,42,very_sparse,25058,0.6489422274345861,0.714502354537473,0.20522735028063321,0.1822045353152614,0.05573855542249243,0.005065449014913655
temporal,dkt,42,strict_cold_start,174926,0.5196174017234414,0.4466860272343734,0.30357289245346425,0.26867371182768546,0.0973864511309295,0.00036479478000258714
temporal,simplekt,42,all,1282671,0.6357418155119389,0.6985571514441349,0.20702683177730408,0.22536332796967215,0.07496196691470901,0.00527625383429363
temporal,simplekt,42,dense,979858,0.6611768105618663,0.7561289492967348,0.1731958737506192,0.19755532705737452,0.05130403509558002,0.007607141880736143
temporal,simplekt,42,medium,93130,0.5854744345749023,0.6411253087082572,0.2961286811999645,0.30384749189959154,0.1525202272699722,0.0017179381781650285
temporal,simplekt,42,sparse,9699,0.6981974521584473,0.8340035055160325,0.134081998387195,0.14354798249109907,0.030828518751829792,0.00713352622342551
temporal,simplekt,42,very_sparse,25058,0.7043119901566414,0.733338654321973,0.18121353363699577,0.168288459934804,0.04828588036270556,0.011322034836326022
temporal,simplekt,42,strict_cold_start,174926,0.4406659165941009,0.39414952608531606,0.3610696169671118,0.35205902243557835,0.18200143304199257,0.0017449451888436167
