dataset,model,rows_kept,delta_ECE,CI_low,CI_high,delta_REL,REL_CI_low,REL_CI_high,share_ECE_increase,n_KCs
ASSISTments 2012,dkt,500,-0.046515588389862104,-0.06031176719238258,-0.032537653493763675,-0.015377634750612183,-0.021823826622035546,-0.009771321437211784,0.1,30
ASSISTments 2012,dkt,100,-0.02437829453483831,-0.04612580062364055,-0.0008478052130690075,-0.008044710565108271,-0.016748154230347444,0.0013856311793536155,0.3,30
ASSISTments 2012,dkt,50,-0.016510393458211408,-0.03411531674739619,0.0018136550239318784,-0.008252764782192234,-0.01556617327916844,-0.0016101035893046592,0.43333333333333335,30
ASSISTments 2012,simplekt,500,-0.025623119427399636,-0.046605209303447,-0.0017640272919850614,-0.007803261299892079,-0.017002333772534,0.0031622491634963187,0.2,30
ASSISTments 2012,simplekt,100,0.0019481104611586582,-0.022847272923067805,0.028618605754137084,3.068229608759396e-05,-0.012837995796156425,0.013825354748354913,0.43333333333333335,30
ASSISTments 2012,simplekt,50,0.002165526116174668,-0.021302675068452116,0.025343698594517083,0.0006600554384344465,-0.010525095716661671,0.012196629462816898,0.4666666666666667,30
Junyi Academy,dkt,500,-0.020802935053431774,-0.04134923730060942,-0.0012179298380805565,-0.006833783617827965,-0.012692002657811206,-0.0016445038294315235,0.3,30
Junyi Academy,dkt,100,-0.009643705912957967,-0.030951153371255993,0.011022201591658353,-0.0032566144557508387,-0.009135946073731499,0.002293819378511553,0.36666666666666664,30
Junyi Academy,dkt,50,-0.0038369002787949596,-0.022340428206751087,0.012911945401594252,-0.002114363153071918,-0.007513495397757168,0.003328596515281506,0.5666666666666667,30
Junyi Academy,simplekt,500,0.10061366159543692,0.08057130473558666,0.12042021883933515,0.04760054405738633,0.03532064122530016,0.06011706519406855,0.9333333333333333,30
Junyi Academy,simplekt,100,0.13168681985847583,0.10900292668259343,0.1553603565198097,0.060786678535603475,0.04748052858130692,0.07666758091592156,1.0,30
Junyi Academy,simplekt,50,0.1350335542563238,0.11030110542274742,0.1611376339571986,0.06071241279263399,0.04720671607307258,0.07435373510761162,1.0,30
XES3G5M,dkt,500,-0.007996298310374229,-0.018604741278711135,0.0037945384197718784,-0.0023841068929746725,-0.005146534761286876,0.0006670959631717363,0.26666666666666666,30
XES3G5M,dkt,100,0.0008723167561218529,-0.00943266382756923,0.011139708662292174,-0.0010030091380744395,-0.003943622052904775,0.002337397861203541,0.4666666666666667,30
XES3G5M,dkt,50,0.017694582107817845,0.006297650197064992,0.029249645514437515,0.0027413511792580675,8.18641905369133e-05,0.005503007764435415,0.7666666666666667,30
XES3G5M,simplekt,500,0.014405313314424741,-0.0018020351287905663,0.031568241675574954,0.011241477883431439,0.0014844699376970036,0.023108753422173087,0.5666666666666667,30
XES3G5M,simplekt,100,0.015274083729760884,0.0017996341731878255,0.03036404409238426,0.006845787901722893,0.0011294766353349707,0.012913720542750745,0.6333333333333333,30
XES3G5M,simplekt,50,0.03185869284505098,0.020967004223742192,0.043252718763843775,0.017979117009254926,0.011614782806317015,0.02508771954653858,0.9,30
