dataset,model,seed,fold,tau,sparse_n,sparse_flag,sparse_n_advance,dense_n,FM_sparse,FM_dense,dFM,Miss_sparse,Miss_dense,dMiss,excess_FM_sparse,excess_FM_dense,N_incorrect_sparse
assist2012,dkt,42,0,0.7,444,L,243,528018,0.2962962962962963,0.1999239664185015,0.0963723298777947,0.365482233502538,0.3978363793396922,-0.0323541458371541,0.2389198190881391,0.0527627230759337,197.0
assist2012,simplekt,42,0,0.7,444,L,235,528018,0.2680851063829787,0.196327455104352,0.0717576512786266,0.3197969543147208,0.3519098743561779,-0.032112920041457,0.2181800969103549,0.0838229072776283,197.0
assist2012,dkt,2024,1,0.7,439,L,234,536773,0.2735042735042735,0.2024643077499225,0.071039965754351,0.3535911602209944,0.4076200482046845,-0.05402888798369,0.2200837973346058,0.0541694593083542,181.0
assist2012,simplekt,2024,1,0.7,439,L,246,536773,0.2845528455284553,0.1978897866520016,0.0866630588764536,0.3867403314917127,0.3469192262530128,0.0398211052386999,0.2214441735570023,0.0834148119464414,181.0
assist2012,dkt,2025,2,0.7,402,L,217,521520,0.1981566820276497,0.2013808065985224,-0.0032241245708726,0.3115942028985507,0.4070302611897365,-0.0954360582911857,0.1445549990174957,0.0528874677157184,138.0
assist2012,simplekt,2025,2,0.7,402,L,213,521520,0.2065727699530516,0.1965440163234653,0.0100287536295863,0.3188405797101449,0.3546644677124483,-0.0358238880023034,0.15680129259405,0.0836332383540376,138.0
assist2012,dkt,2026,3,0.7,402,L,239,521520,0.2133891213389121,0.2010198232474347,0.0123692980914774,0.3695652173913043,0.4079891075058489,-0.0384238901145446,0.1801472161604271,0.0552458734901465,138.0
assist2012,simplekt,2026,3,0.7,402,L,224,521520,0.2142857142857142,0.1943683082758353,0.0199174060098789,0.3478260869565217,0.3531239212978944,-0.0052978343413726,0.1610160156020096,0.0776335631815841,138.0
assist2012,dkt,2027,4,0.7,376,L,199,509574,0.1909547738693467,0.2016152980143255,-0.0106605241449788,0.3089430894308943,0.4026432751586877,-0.0937001857277934,0.1446690196967005,0.0557378799800284,123.0
assist2012,simplekt,2027,4,0.7,376,L,219,509574,0.2420091324200913,0.1930539733595419,0.0489551590605493,0.4308943089430894,0.3379495066668404,0.092944802276249,0.2004791443750738,0.0753322723948857,123.0
