model,quantity,point,ci_lo,ci_hi,n_valid
SimpleKT,FAR_dense,0.19632745510435204,0.18562979699914017,0.20768393661759024,2000
SimpleKT,FAR_sparse,0.2680851063829787,0.20201171377641966,0.33684801892371374,2000
SimpleKT,Delta_FAR,0.07175765127862668,0.008791744007018999,0.1414310929590778,2000
DKT,FAR_dense,0.1999239664185015,0.18998744624003028,0.21074510010017786,2000
DKT,FAR_sparse,0.2962962962962963,0.22058373349339735,0.3827778136988663,2000
DKT,Delta_FAR,0.09637232987779479,0.022257744533860223,0.18229595648010816,2000
GKT (train-only),FAR_dense,0.20534390887133253,0.19392883593233515,0.21680079798487673,2000
GKT (train-only),FAR_sparse,0.22009569377990432,0.14883249528598366,0.29480726373702903,2000
GKT (train-only),Delta_FAR,0.014751784908571791,-0.053742287217353774,0.09226919398123894,2000
CL4KT (adapter),FAR_dense,0.18518988288631094,0.17613156541379027,0.19390939030180185,2000
CL4KT (adapter),FAR_sparse,0.24,0.159220294311443,0.33010257874621096,2000
CL4KT (adapter),Delta_FAR,0.05481011711368905,-0.017695069655149206,0.14223544615561917,2000
