dataset,seed,file,n,n_unique_p,p_min,p_max,p_std,p_mean,auc,constant,note
assist2012,42,assist2012_learner_based_irt_1pl_seed42_predictions_rerun.csv,534150,1,0.6961533161397051,0.6961533161397051,0.0,0.6961533161397051,0.5,True,
assist2012,2024,assist2012_learner_based_irt_1pl_seed2024_predictions_rerun.csv,542748,1,0.6961894930662291,0.6961894930662291,2.220446049250313e-16,0.6961894930662289,0.5,True,
assist2012,2025,assist2012_learner_based_irt_1pl_seed2025_predictions_rerun.csv,528681,1,0.6962419151353444,0.6962419151353444,2.220446049250313e-16,0.6962419151353442,0.5,True,
assist2012,2026,assist2012_learner_based_irt_1pl_seed2026_predictions_rerun.csv,528681,1,0.6962419151353444,0.6962419151353444,2.220446049250313e-16,0.6962419151353442,0.5,True,
assist2012,2027,assist2012_learner_based_irt_1pl_seed2027_predictions_rerun.csv,515889,1,0.6959931373688605,0.6959931373688605,1.1102230246251565e-16,0.6959931373688606,0.5,True,
junyi,42,junyi_learner_based_irt_1pl_seed42_predictions_rerun.csv,3269022,1,0.7027989297687651,0.7027989297687651,2.220446049250313e-16,0.7027989297687649,0.5,True,
junyi,2024,junyi_learner_based_irt_1pl_seed2024_predictions_rerun.csv,3243926,1,0.7029743163095203,0.7029743163095203,1.1102230246251565e-16,0.7029743163095202,0.5,True,
junyi,2025,junyi_learner_based_irt_1pl_seed2025_predictions_rerun.csv,3244494,1,0.7031652854660756,0.7031652854660756,1.1102230246251565e-16,0.7031652854660757,0.5,True,
junyi,2026,junyi_learner_based_irt_1pl_seed2026_predictions_rerun.csv,3244494,1,0.7031652854660756,0.7031652854660756,1.1102230246251565e-16,0.7031652854660757,0.5,True,
junyi,2027,junyi_learner_based_irt_1pl_seed2027_predictions_rerun.csv,3163548,1,0.7026043898054218,0.7026043898054218,0.0,0.7026043898054218,0.5,True,
xes3g5m,42,xes3g5m_learner_based_irt_1pl_seed42_predictions_rerun.csv,1589145,1,0.6413068192495144,0.6413068192495144,1.1102230246251565e-16,0.6413068192495145,0.5,True,
xes3g5m,2024,xes3g5m_learner_based_irt_1pl_seed2024_predictions_rerun.csv,1590128,1,0.6413765930778466,0.6413765930778466,1.1102230246251565e-16,0.6413765930778467,0.5,True,
xes3g5m,2025,xes3g5m_learner_based_irt_1pl_seed2025_predictions_rerun.csv,1591387,1,0.6420799274507805,0.6420799274507805,2.220446049250313e-16,0.6420799274507802,0.5,True,
xes3g5m,2026,xes3g5m_learner_based_irt_1pl_seed2026_predictions_rerun.csv,1591387,1,0.6420799274507805,0.6420799274507805,2.220446049250313e-16,0.6420799274507802,0.5,True,
xes3g5m,2027,xes3g5m_learner_based_irt_1pl_seed2027_predictions_rerun.csv,1591247,1,0.6417625850750869,0.6417625850750869,1.1102230246251565e-16,0.641762585075087,0.5,True,
