dataset,covariate,estimator,weighted,cluster,n_obs,n_unique_kc,n_folds,n_splits,coef_std,SE_cluster,CI_lo,CI_hi,p
assist2012,log1p(f_train),WLS,True,kc_id,478,261,1,2,-0.06806873912447124,0.009222932358643798,-0.08622989195083816,-0.04990758629810432,2.130101392854928e-12
assist2012,difficulty_proxy,WLS,True,kc_id,478,261,1,2,0.026195320668574273,0.005155051015911707,0.016044355044290186,0.03634628629285836,7.160660388794545e-07
assist2012,item_support,WLS,True,kc_id,478,261,1,2,-0.005713096482881259,0.0028522649757632464,-0.011329577024190046,-9.661594157247232e-05,0.04621491741412576
assist2012,learner_exposure,WLS,True,kc_id,478,261,1,2,0.015595155623436857,0.005761515097064118,0.004249983380995298,0.026940327865878418,0.007243878035449028
assist2012,curriculum_position_proxy,WLS,True,kc_id,478,261,1,2,-0.004635511190629874,0.0037422477626022866,-0.012004483539977517,0.0027334611587177694,0.21657486283206218
assist2012,log1p(f_train),OLS,False,kc_id,478,261,1,2,-0.05975727986474903,0.013557897033302922,-0.08645454169549371,-0.03306001803400436,1.530375760016545e-05
assist2012,difficulty_proxy,OLS,False,kc_id,478,261,1,2,0.028924625193333064,0.010018696954597261,0.009196508425462397,0.04865274196120373,0.00421543357813201
assist2012,item_support,OLS,False,kc_id,478,261,1,2,-0.011770769412013894,0.003473542147435842,-0.01861062547246594,-0.0049309133515618485,0.0008112246854761259
assist2012,learner_exposure,OLS,False,kc_id,478,261,1,2,0.02104304500841824,0.007374025289862123,0.006522630564614032,0.03556345945222245,0.0046696135423376995
assist2012,curriculum_position_proxy,OLS,False,kc_id,478,261,1,2,-0.009067531192202424,0.0065966918601528274,-0.02205727505695119,0.003922212672546343,0.17045226515534684
junyi,log1p(f_train),WLS,True,kc_id,2645,1326,1,2,-0.01443382586496764,0.00203606745851946,-0.018428093391062446,-0.010439558338872836,2.1890665812820508e-12
junyi,difficulty_proxy,WLS,True,kc_id,2645,1326,1,2,0.0029474708380192506,0.0011047736490408745,0.0007801745180544928,0.005114767157984009,0.0077248365940403635
junyi,item_support,WLS,True,kc_id,2645,1326,1,2,-0.0007254916547350046,0.0006718884466361583,-0.0020435728373243874,0.0005925895278543781,0.28043670172455415
junyi,learner_exposure,WLS,True,kc_id,2645,1326,1,2,0.0007709882506518795,0.0013679216423064984,-0.0019125402204922886,0.0034545167217960478,0.573108018188968
junyi,curriculum_position_proxy,WLS,True,kc_id,2645,1326,1,2,-0.0037033423702275774,0.0008095455057312303,-0.005291473112609531,-0.0021152116278456237,5.218008689040353e-06
junyi,log1p(f_train),OLS,False,kc_id,2645,1326,1,2,-0.021941401290159795,0.0019569381001568486,-0.02578043632376227,-0.01810236625655732,6.152727758811304e-28
junyi,difficulty_proxy,OLS,False,kc_id,2645,1326,1,2,0.005465108979933419,0.0009901353696244023,0.003522704990919994,0.007407512968946844,4.083882570294809e-08
junyi,item_support,OLS,False,kc_id,2645,1326,1,2,-0.00024247173163116832,0.0006957903112290303,-0.0016074425401791357,0.001122499076916799,0.7275321531826866
junyi,learner_exposure,OLS,False,kc_id,2645,1326,1,2,0.008585676394915212,0.002298880050197463,0.0040758346937134655,0.013095518096116959,0.0001958997600417224
junyi,curriculum_position_proxy,OLS,False,kc_id,2645,1326,1,2,-0.001246322229514585,0.0007702076738270051,-0.002757281744654256,0.0002646372856250857,0.10586528929658841
xes3g5m,log1p(f_train),WLS,True,kc_id,1263,830,1,2,-0.06876673588872644,0.027608570526728705,-0.12295765814437451,-0.014575813633078354,0.012941155424825799
xes3g5m,difficulty_proxy,WLS,True,kc_id,1263,830,1,2,0.010179891030718315,0.01082956473962807,-0.011076700298395642,0.03143648235983227,0.3474866262678089
xes3g5m,item_support,WLS,True,kc_id,1263,830,1,2,0.007918406959959405,0.0046924646287899345,-0.0012921019883379691,0.017128915908256777,0.09188862058836725
xes3g5m,learner_exposure,WLS,True,kc_id,1263,830,1,2,-0.0010921355177463032,0.011759540832920095,-0.02417411154478981,0.021989840509297205,0.9260274568013412
xes3g5m,curriculum_position_proxy,WLS,True,kc_id,1263,830,1,2,-0.00028491699960314426,0.007325878489547102,-0.014664368891073854,0.014094534891867565,0.9689859745789614
xes3g5m,log1p(f_train),OLS,False,kc_id,1263,830,1,2,-0.012151737865838251,0.00966246560366276,-0.031117512345869073,0.006814036614192571,0.20888232048918573
xes3g5m,difficulty_proxy,OLS,False,kc_id,1263,830,1,2,0.04354832940831126,0.006634154318028232,0.030526614266189488,0.056570044550433025,9.212582759966463e-11
xes3g5m,item_support,OLS,False,kc_id,1263,830,1,2,-0.010152432447537997,0.005479770532207734,-0.020908288807510365,0.0006034239124343699,0.06427898936928818
xes3g5m,learner_exposure,OLS,False,kc_id,1263,830,1,2,0.019028838898689622,0.008310900770968035,0.0027159560162559847,0.035341721781123256,0.022293613943236812
xes3g5m,curriculum_position_proxy,OLS,False,kc_id,1263,830,1,2,-0.004207176180898832,0.004499493089549988,-0.013038914860363177,0.004624562498565512,0.3500433825090072
