dataset,split,fold,covariate,estimator,weighted,cluster,n_obs,n_unique_kc,n_folds,n_splits,coef_std,SE_cluster,CI_lo,CI_hi,p
assist2012,learner_based,0,log1p(f_train),WLS,True,kc_id,260,260,1,1,-0.06321207912070058,0.009250879082456698,-0.08142859157591073,-0.04499556666549043,5.919759998580709e-11
assist2012,learner_based,0,difficulty_proxy,WLS,True,kc_id,260,260,1,1,0.025138572220650746,0.005307427712930173,0.0146873683754866,0.03558977606581489,3.586219309100016e-06
assist2012,learner_based,0,item_support,WLS,True,kc_id,260,260,1,1,-0.005114116101972072,0.002169304129759153,-0.009385835075559835,-0.0008423971283843109,0.01914318214677284
assist2012,learner_based,0,learner_exposure,WLS,True,kc_id,260,260,1,1,0.011295732237150476,0.005229073796183907,0.0009988202260488507,0.0215926442482521,0.03167639086018285
assist2012,learner_based,0,curriculum_position_proxy,WLS,True,kc_id,260,260,1,1,-0.011069810999285747,0.004472709431794646,-0.019877316355975123,-0.002262305642596371,0.013965506580832654
assist2012,learner_based,0,log1p(f_train),OLS,False,kc_id,260,260,1,1,-0.05717655075849016,0.01520386034302113,-0.08711546886965081,-0.02723763264732951,0.00020954406173220462
assist2012,learner_based,0,difficulty_proxy,OLS,False,kc_id,260,260,1,1,0.01618074461136572,0.009596864607948006,-0.0027170706236404746,0.03507855984637191,0.09299136908888501
assist2012,learner_based,0,item_support,OLS,False,kc_id,260,260,1,1,-0.010648542966245716,0.0029670005908509554,-0.016491058335444446,-0.0048060275970469865,0.00039691569530888405
assist2012,learner_based,0,learner_exposure,OLS,False,kc_id,260,260,1,1,0.019969589585820284,0.008729663220396502,0.0027794374536067278,0.03715974171803384,0.022969990865132663
assist2012,learner_based,0,curriculum_position_proxy,OLS,False,kc_id,260,260,1,1,-0.0037666223354649864,0.006586285813933485,-0.016736109504594768,0.009202864833664795,0.5678933914510447
assist2012,temporal,0,log1p(f_train),WLS,True,kc_id,218,218,1,1,-0.06657402917568436,0.011463387967950881,-0.08916786591650701,-0.04398019243486172,2.2353761326764763e-08
assist2012,temporal,0,difficulty_proxy,WLS,True,kc_id,218,218,1,1,0.028181942770645136,0.006805064721124077,0.014769457583048982,0.04159442795824129,4.945861124009608e-05
assist2012,temporal,0,item_support,WLS,True,kc_id,218,218,1,1,-0.004919587474404776,0.0035718267118131143,-0.011959501836444859,0.002120326887635306,0.16982894347323668
assist2012,temporal,0,learner_exposure,WLS,True,kc_id,218,218,1,1,0.015503578646393028,0.007542277294150913,0.0006380796931616233,0.030369077599624435,0.04102244299014037
assist2012,temporal,0,curriculum_position_proxy,WLS,True,kc_id,218,218,1,1,-0.005060675932990744,0.005136843332964308,-0.015185169664918858,0.005063817798937369,0.3256365926244596
assist2012,temporal,0,log1p(f_train),OLS,False,kc_id,218,218,1,1,-0.0603011858992333,0.024800128731170525,-0.10918115587582415,-0.011421215922642447,0.015848281260465676
assist2012,temporal,0,difficulty_proxy,OLS,False,kc_id,218,218,1,1,0.0381697170900263,0.018390115072045195,0.001923603921355134,0.07441583025869747,0.03911355711271136
assist2012,temporal,0,item_support,OLS,False,kc_id,218,218,1,1,-0.012636349883381037,0.005590831591529403,-0.02365563463389348,-0.0016170651328685937,0.024801905082342757
assist2012,temporal,0,learner_exposure,OLS,False,kc_id,218,218,1,1,0.01956668226587435,0.011974721878204761,-0.0040349712670364885,0.043168335798785186,0.10370901736520956
assist2012,temporal,0,curriculum_position_proxy,OLS,False,kc_id,218,218,1,1,-0.00571216077055967,0.012408829947276443,-0.030169422337317117,0.01874510079619778,0.6457400738834453
junyi,learner_based,0,log1p(f_train),WLS,True,kc_id,1326,1326,1,1,-0.0059948682395375855,0.0015114679561894111,-0.008959999551311628,-0.0030297369277635425,7.691555302102558e-05
junyi,learner_based,0,difficulty_proxy,WLS,True,kc_id,1326,1326,1,1,0.0019362747246175493,0.0008725165650089268,0.00022461012970813993,0.003647939319526959,0.026643063783486274
junyi,learner_based,0,item_support,WLS,True,kc_id,1326,1326,1,1,3.58835959083636e-05,0.0005684922252340712,-0.0010793594303423408,0.0011511266221590681,0.9496799552040097
junyi,learner_based,0,learner_exposure,WLS,True,kc_id,1326,1326,1,1,-0.000997912808532164,0.0011552198307625793,-0.003264172227496108,0.0012683466104317798,0.38783797865271546
junyi,learner_based,0,curriculum_position_proxy,WLS,True,kc_id,1326,1326,1,1,-0.006415230627104989,0.0006141194367319515,-0.007619983108668517,-0.00521047814554146,1.3353544355719468e-24
junyi,learner_based,0,log1p(f_train),OLS,False,kc_id,1326,1326,1,1,-0.0181647027581081,0.0017461015088800786,-0.02159012784655596,-0.014739277669660236,2.032706419887357e-24
junyi,learner_based,0,difficulty_proxy,OLS,False,kc_id,1326,1326,1,1,0.0013170408584234773,0.0007876383140563472,-0.0002281133195382837,0.0028621950363852382,0.09473298457406766
