dataset,split,fold,kc_id,test_events,ECE,log1p_f_train,difficulty_proxy,item_support,learner_exposure,curriculum_position_proxy
assist2012,learner_based,0,1.0,2096,0.1064718541385293,8.796338932845732,0.3377212891511575,157.0,1132.0,0.7170263788968825
assist2012,learner_based,0,10.0,73,0.2152882717463685,5.8944028342648505,0.3011049723756905,68.0,274.0,0.4372930463576159
assist2012,learner_based,0,100.0,35,0.3259096738616271,4.7535901911063645,0.5217391304347826,15.0,68.0,0.4776119402985074
assist2012,learner_based,0,101.0,574,0.1979216424779129,7.582738488914411,0.4004075394803872,21.0,552.0,0.5517241379310345
assist2012,learner_based,0,103.0,2149,0.1432082185493769,8.946765374867635,0.1921374642020307,221.0,2244.0,0.517535228590505
assist2012,learner_based,0,104.0,111,0.2536210895606174,5.860786223465865,0.3914285714285714,6.0,344.0,0.6428571428571429
assist2012,learner_based,0,105.0,620,0.1303029708624367,7.456454555176209,0.23757225433526,65.0,610.0,0.3933982683982684
assist2012,learner_based,0,106.0,1259,0.1463890840329756,8.458716261657262,0.2572640509013786,60.0,1190.0,0.369047619047619
assist2012,learner_based,0,11.0,1204,0.1851083316184284,8.41913925094085,0.3409090909090909,210.0,1061.0,0.5769230769230769
assist2012,learner_based,0,110.0,405,0.1634873490090723,7.063903961472068,0.1138698630136986,43.0,316.0,0.6151923076923077
assist2012,learner_based,0,12.0,4243,0.1692034586787315,9.58781744354418,0.3779225231402126,654.0,3020.0,0.49
assist2012,learner_based,0,13.0,4000,0.1678680877219885,9.567595147779924,0.3294619743930596,868.0,2836.0,0.4615384615384615
assist2012,learner_based,0,14.0,318,0.1655216498165713,6.8966943316227125,0.187246963562753,74.0,485.0,0.4459945557067859
assist2012,learner_based,0,15.0,3025,0.1912212193797319,9.252153874789594,0.2290427776712066,499.0,2316.0,0.4438480941704036
assist2012,learner_based,0,16.0,1471,0.1685038174977868,8.541690663016626,0.277376537185243,286.0,1491.0,0.7110507246376812
assist2012,learner_based,0,163.0,151,0.2512039136856991,6.042632833682381,0.3238095238095237,19.0,115.0,0.4183673469387755
assist2012,learner_based,0,1641.0,46,0.1411495675211367,5.455321115357702,0.1845493562231759,2.0,127.0,0.5512820512820513
assist2012,learner_based,0,165.0,57,0.2503124019957587,5.318119993844216,0.2906403940886699,6.0,107.0,0.2702702702702703
assist2012,learner_based,0,166.0,601,0.2382682614911156,7.638198244285779,0.4746987951807229,32.0,782.0,0.5401929260450161
assist2012,learner_based,0,17.0,3139,0.1159499117977888,9.19634286233233,0.5170385395537526,228.0,1422.0,0.6814281862084182
assist2012,learner_based,0,172.0,19,0.3014937990198009,3.6635616461296463,0.2894736842105263,10.0,11.0,0.5337837837837838
assist2012,learner_based,0,173.0,66,0.2602683461525223,5.828945617610208,0.6784660766961652,8.0,45.0,0.4545454545454545
assist2012,learner_based,0,174.0,6,0.0074266990025838,3.4011973816621555,0.0689655172413793,2.0,29.0,0.6052631578947368
assist2012,learner_based,0,177.0,1,0.0038222074508668,1.0986122886681098,0.0,1.0,2.0,0.4423998428908091
assist2012,learner_based,0,18.0,3756,0.1665605242091108,9.513994213937664,0.2832361408429911,312.0,2972.0,0.7633587786259542
assist2012,learner_based,0,181.0,372,0.1404046223609037,7.069874128458572,0.3557446808510638,22.0,130.0,0.3333333333333333
assist2012,learner_based,0,184.0,12,0.4211174331164026,3.8501476017100575,0.5,1.0,45.0,0.2636476426799007
assist2012,learner_based,0,186.0,85,0.1894520349362317,6.1675164908883415,0.3319327731092437,8.0,65.0,0.8787755102040816
assist2012,learner_based,0,192.0,171,0.2123446300495089,6.222576268071369,0.3061630218687873,4.0,105.0,0.2894736842105263
assist2012,learner_based,0,196.0,51,0.3172125015773025,5.087596335232384,0.3913043478260869,12.0,86.0,0.5
assist2012,learner_based,0,197.0,21,0.2329406697480451,4.454347296253507,0.2117647058823529,4.0,78.0,0.6
assist2012,learner_based,0,198.0,20,0.3557571212761105,4.700480365792417,0.3394495412844036,7.0,52.0,0.375
assist2012,learner_based,0,2.0,95,0.1581503987312317,6.0473721790462776,0.1777251184834123,77.0,170.0,0.435436417129781
assist2012,learner_based,0,202.0,77,0.2297609675820771,6.295266001439646,0.4214417744916821,17.0,79.0,0.3943661971830985
assist2012,learner_based,0,203.0,223,0.2579440005894149,6.645090969505644,0.5325520833333333,6.0,238.0,0.773030303030303
assist2012,learner_based,0,204.0,83,0.210531281744949,6.251903883165888,0.555984555984556,16.0,61.0,0.5
assist2012,learner_based,0,206.0,37,0.2900476602686418,5.497168225293202,0.4650205761316872,6.0,42.0,0.7808219178082192
assist2012,learner_based,0,21.0,3507,0.0964012318144711,9.4054136126953,0.3749691434213774,454.0,1414.0,0.366412213740458
assist2012,learner_based,0,212.0,31,0.3699849530784113,5.068904202220232,0.6012658227848101,8.0,34.0,0.5742710795902286
assist2012,learner_based,0,213.0,65,0.1958357630440821,5.3706380281276624,0.2897196261682243,12.0,153.0,0.4545454545454545
assist2012,learner_based,0,214.0,27,0.2377530467799967,5.093750200806762,0.617283950617284,5.0,38.0,0.5
assist2012,learner_based,0,216.0,21,0.3198573381773063,4.343805421853684,0.3026315789473685,2.0,40.0,0.625
assist2012,learner_based,0,217.0,384,0.1283406002621632,7.305188215393037,0.3826496301277741,10.0,169.0,0.6414473684210527
assist2012,learner_based,0,218.0,9,0.4046975639131334,3.6375861597263857,0.4594594594594594,5.0,34.0,0.2738386308068459
assist2012,learner_based,0,22.0,2837,0.1309699634307795,9.2179116374725,0.2814888337468982,536.0,1692.0,0.5833333333333334
assist2012,learner_based,0,220.0,5,0.330427885055542,3.091042453358316,0.2857142857142857,3.0,16.0,0.7236842105263158
assist2012,learner_based,0,222.0,116,0.2819638221749458,5.8971538676367405,0.4545454545454546,8.0,65.0,0.6363636363636364
assist2012,learner_based,0,223.0,34,0.1453479802345528,5.135798437050262,0.7100591715976332,9.0,46.0,0.3423423423423423
assist2012,learner_based,0,224.0,96,0.2420984804630279,5.5909869805108565,0.3558052434456928,14.0,61.0,0.68
assist2012,learner_based,0,226.0,22,0.1652631803669713,5.056245805348308,0.608974358974359,10.0,22.0,0.1676706827309236
assist2012,learner_based,0,23.0,4,0.1212909827008843,2.772588722239781,0.6666666666666667,4.0,12.0,0.1428571428571428
assist2012,learner_based,0,230.0,84,0.0899083502590656,5.602118820879701,0.2851851851851852,7.0,31.0,0.7456086286594761
assist2012,learner_based,0,231.0,70,0.2879146749153733,5.849324779946859,0.5,5.0,61.0,0.6535517452541335
assist2012,learner_based,0,233.0,48,0.3975957565320035,5.41610040220442,0.4866071428571429,6.0,76.0,0.993171047339244
assist2012,learner_based,0,238.0,51,0.2279180349672541,5.631211781821365,0.5899280575539568,10.0,47.0,0.8333333333333334
assist2012,learner_based,0,24.0,1057,0.1251187335625784,8.216358332386156,0.1262162162162162,64.0,1114.0,0.80374326645653
assist2012,learner_based,0,240.0,362,0.131233537569642,7.116394144093465,0.4248578391551584,7.0,146.0,0.6197183098591549
assist2012,learner_based,0,25.0,5364,0.0863082815049525,9.836546146782249,0.1882485029940119,507.0,2159.0,0.375
assist2012,learner_based,0,26.0,1350,0.1353370525060152,8.415824697027949,0.1979189727695373,196.0,1439.0,0.5963636363636363
assist2012,learner_based,0,27.0,6386,0.1164098734105652,9.978223898650144,0.3031413855505545,444.0,2328.0,0.6058394160583942
assist2012,learner_based,0,276.0,14053,0.1275077958150473,10.804603731039336,0.2723063802136214,1176.0,5288.0,0.3734939759036144
assist2012,learner_based,0,277.0,30636,0.0827360889825044,11.551982703223755,0.2773076109326614,1356.0,7414.0,0.2948717948717949
assist2012,learner_based,0,278.0,11117,0.1219334173409739,10.552865691963367,0.1957634644517578,953.0,4983.0,0.3125
