dataset,split_mode,model,group,auc_mean,auc_std,acc_mean,acc_std,ece_mean,ece_std,brier_mean,brier_std,reliability_mean,reliability_std,resolution_mean,resolution_std
assist2012,learner_based,bkt,k10,,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0
assist2012,learner_based,bkt,k5,,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0
assist2012,learner_based,bkt,strict,,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0
assist2012,learner_based,bkt,warm,0.5,0.0,0.28965761805707757,0.0003751161683340026,0.7103423819429224,0.0003751161683340052,0.7103423819429224,0.0003751161683340052,0.5045864121540565,0.000532981046105609,0.0,0.0
assist2012,learner_based,dkt,k10,0.825,0.2549509756796392,0.8346861471861472,0.21494198556319652,0.17156940490055703,0.13794632125400566,0.11663729943814115,0.1243558633433562,0.08927280611161781,0.09050700984140103,0.11726172907179402,0.07158617500532972
assist2012,learner_based,dkt,k5,0.9375,0.15309310892394862,0.8291666666666666,0.23223000670479546,0.17903868029205033,0.1358261976712082,0.11331887951690288,0.1255563795411847,0.10283679708055402,0.10389225656231142,0.13291666666666668,0.08744045593049783
assist2012,learner_based,dkt,strict,,0.0,0.5,0.7071067811865476,0.5013766624033451,0.06782264013510185,0.2540149807715272,0.06824610369698556,0.2538825985160748,0.06813777333269311,0.0,0.0
assist2012,learner_based,dkt,warm,0.6982600191164017,0.0011474305250173543,0.7183780379479939,0.0009705500354518383,0.0608037705890757,0.002122547159938403,0.19328875912899585,0.000785911954516016,0.005356064679274832,0.0004784935627368572,0.022878223190492954,0.0002973993651562534
assist2012,learner_based,simplekt,k10,0.7625,0.3335416016031583,0.7201028138528138,0.1465925969773979,0.2977367829528743,0.09853856783321045,0.22162455284913293,0.10533449095245545,0.1522302196579064,0.06478939363009097,0.07394462950469444,0.0724939314890088
assist2012,learner_based,simplekt,k5,0.9375,0.15309310892394862,0.8138888888888889,0.12789849370245934,0.21352882163130266,0.09817046751713154,0.15114467738735762,0.10421619270482059,0.08870521950807554,0.051480127092179175,0.07979166666666668,0.09167072501838755
assist2012,learner_based,simplekt,strict,,0.0,0.375,0.1767766952966369,0.5224095284938812,0.02252128440562963,0.27612267162347615,0.02691165185724601,0.2758393542173071,0.027312323175506584,0.0,0.0
assist2012,learner_based,simplekt,warm,0.6835167601097081,0.002066075237585929,0.6996385084646083,0.002641722517887928,0.11473349086207559,0.005971342550409948,0.21191249708538296,0.0016672179501541246,0.02013724562259061,0.0013440220282381107,0.01908845685118538,0.0003706490187706415
assist2012,temporal,bkt,k10,0.5,0.0,0.4280415430267062,0.0,0.5719584569732937,0.0,0.5719584569732937,0.0,0.3271364765032711,0.0,0.0,0.0
assist2012,temporal,bkt,k5,0.5,0.0,0.484608619173263,0.0,0.5153913808267371,0.0,0.5153913808267371,0.0,0.2656282754304907,0.0,0.0,0.0
assist2012,temporal,bkt,strict,0.5,0.0,0.4875886524822695,0.0,0.5124113475177305,0.0,0.5124113475177305,0.0,0.2625653890649364,0.0,0.0,0.0
assist2012,temporal,bkt,warm,0.5000073877157758,0.0,0.3120998811623093,0.0,0.6874964061182244,0.0,0.6876982624779574,0.0,0.4734880706222284,0.0,2.9816763648718336e-09,0.0
