dataset,split_mode,model,seed,auc,acc,nll,rmse
assist2012,learner_based,bkt,123,0.5,0.29000607481433316,24.52232142373269,0.8426113725708106
assist2012,learner_based,bkt,2024,0.5,0.289587644585793,24.53677349183311,0.8428596297214653
assist2012,learner_based,bkt,2025,0.5,0.29000607481433316,24.52232142373269,0.8426113725708106
assist2012,learner_based,bkt,2026,0.499984789602172,0.2890981088847895,24.55338378830774,0.8431460697700476
assist2012,learner_based,bkt,42,0.5,0.289587644585793,24.53677349183311,0.8428596297214653
assist2012,learner_based,dkt,2024,0.6995196686130954,0.7181185060376298,0.579811536655526,0.4391223576320873
assist2012,learner_based,dkt,2024,0.6986869037663477,0.7191532718683441,0.5800310396666192,0.4392056182982582
assist2012,learner_based,dkt,2025,0.6975380308101575,0.7187829342530972,0.5803021420062308,0.43922671340018876
assist2012,learner_based,dkt,2025,0.698425123915711,0.718771811356943,0.5801572640829469,0.4393130726427287
assist2012,learner_based,dkt,2026,0.6982848473423696,0.7188569288474524,0.586755138709121,0.4401110525082792
assist2012,learner_based,dkt,2027,0.6958076036648345,0.7160842739426505,0.590659856893553,0.4417136089155238
assist2012,learner_based,dkt,42,0.6989399535313159,0.7186314705607039,0.5803353995860621,0.43923278524425124
assist2012,learner_based,dkt,42,0.6989399535313159,0.7186314705607039,0.5803353995860621,0.43923278524425124
assist2012,learner_based,simplekt,2024,0.6827948877861713,0.6997116914724328,0.6901101925864754,0.4600997253439031
assist2012,learner_based,simplekt,2024,0.6802224332197606,0.695178978089279,0.6976111963445477,0.4629565843906335
assist2012,learner_based,simplekt,2025,0.681852187011354,0.698191425855093,0.6968153947590423,0.4618507548649545
assist2012,learner_based,simplekt,2025,0.683665420256908,0.6985573531108551,0.6963556907411216,0.46108382723473595
assist2012,learner_based,simplekt,2026,0.6868869860354221,0.7039027315148454,0.7030567437547263,0.45733169027969833
assist2012,learner_based,simplekt,2027,0.6855956045082103,0.7023623298810403,0.7093935293573308,0.4583163623898941
assist2012,learner_based,simplekt,42,0.6834523317999622,0.6997229242722082,0.6993514331064226,0.460501138377297
assist2012,learner_based,simplekt,42,0.6837029867791296,0.6994795469437424,0.698541970290002,0.46055422369044885
assist2012,temporal,bkt,123,0.500010316933194,0.3124731326601771,23.712702054927192,0.829051060440277
assist2012,temporal,bkt,2026,0.500010316933194,0.3124731326601771,23.712702054927192,0.829051060440277
assist2012,temporal,bkt,42,0.500010316933194,0.3124731326601771,23.712702054927192,0.829051060440277
assist2012,temporal,dkt,2024,0.6625197255360045,0.6918677175309831,0.6357526727608964,0.4592765950929043
assist2012,temporal,dkt,2025,0.6604771033285632,0.6905807913091088,0.6395035498307067,0.46046648853419936
assist2012,temporal,dkt,2026,0.6599703338524894,0.6910869070308693,0.6381816047158948,0.4603141422575063
assist2012,temporal,dkt,2027,0.6608987642027204,0.6922854041117669,0.6363230850459716,0.4593301162557278
assist2012,temporal,dkt,42,0.4991591767739604,0.6129230722917635,0.8100082536262357,0.5176589583327557
assist2012,temporal,dkt,42,0.6605877175366218,0.6914594383056224,0.6361696008697462,0.459451286916702
assist2012,temporal,simplekt,2024,0.6750530940140449,0.6779730535711261,0.7534750619430337,0.47682257564112296
assist2012,temporal,simplekt,2025,0.6731301076750636,0.6789401297086166,0.7545687219314399,0.4770027570107151
assist2012,temporal,simplekt,2026,0.6735136295933777,0.68110382145592,0.7635828908203546,0.4760103412350473
assist2012,temporal,simplekt,2027,0.674788400539336,0.6776306258337269,0.7612530430511362,0.4769143314881642
assist2012,temporal,simplekt,42,0.5014727003985071,0.5771186775516041,1.0974100242268519,0.5538443658001342
assist2012,temporal,simplekt,42,0.6730586192259105,0.679621222241246,0.7647698675203229,0.4771401742113056
junyi,learner_based,bkt,2024,0.5,0.2960517785180596,24.313510215359802,0.8390162224188153
junyi,learner_based,bkt,2025,0.5,0.29259761438854287,24.4328128178605,0.8410721643304192
junyi,learner_based,bkt,42,0.5,0.2960517785180596,24.313510215359802,0.8390162224188153
junyi,learner_based,dkt,2024,0.732803983122286,0.733261507570154,0.5444043251911247,0.42533218782894
junyi,learner_based,dkt,2024,0.7324230717222795,0.735837377301455,0.5414269626354152,0.4238795720134223
junyi,learner_based,dkt,2025,0.7317169331315472,0.7355087631468782,0.5411123862245566,0.423896817465668
junyi,learner_based,dkt,2025,0.731536842722013,0.7325965158203406,0.5447171203665876,0.42568030384156036
junyi,learner_based,dkt,2026,0.7296427917328608,0.7328779156318366,0.5485991980240023,0.4261787696886746
junyi,learner_based,dkt,2027,0.7322483645908582,0.7353398778839455,0.5438443928989767,0.4243242515574692
junyi,learner_based,dkt,42,0.7325663255875674,0.7332734377437655,0.5442189717560367,0.4252530767341299
junyi,learner_based,dkt,42,0.7325663255875674,0.7332734377437655,0.5442189717560367,0.4252530767341299
junyi,learner_based,simplekt,2024,0.7252603324537382,0.7284634364650957,0.5934210001749053,0.4319614161187107
junyi,learner_based,simplekt,2024,0.7252603324537382,0.7284634364650957,0.5934210001749053,0.4319614161187107
junyi,learner_based,simplekt,2025,0.7242338280790755,0.7299103000500011,0.5990342953908122,0.4319978624677576
junyi,learner_based,simplekt,2025,0.7242338280790755,0.7299103000500011,0.5990342953908122,0.4319978624677576
junyi,learner_based,simplekt,2026,0.7183406135361105,0.7218999326243167,0.6449175469325772,0.4402314144450476
