dataset,split_mode,model,seed,bucket,brier,uncertainty,reliability,resolution,n_events
junyi_bkt_test,learner_based,bkt,42,medium,0.6429942418426103,0.22955264679985707,0.4134415950427533,0.0,6597
junyi_bkt_test,learner_based,bkt,42,sparse,0.5919923736892279,0.24153740318302147,0.3504549705062064,0.0,9902
junyi_bkt_test,learner_based,bkt,42,very_sparse,0.5396825396825397,0.24773242630385486,0.2999909812409812,0.008040867862296432,1264
junyi_bkt_test,temporal,bkt,2024,medium,0.6539017341040463,0.22564235357011594,0.42860224512021444,0.00034286458628415763,5780
junyi_bkt_test,temporal,bkt,2024,sparse,0.5833956619296934,0.24253721115101012,0.3410195889070293,0.00016113812834614292,10589
junyi_bkt_test,temporal,bkt,2024,very_sparse,0.5657894736842105,0.24457063711911356,0.3231522956326988,0.0019334590676018154,1391
junyi_bkt_test,temporal,bkt,2025,medium,0.6539017341040463,0.22564235357011594,0.42860224512021444,0.00034286458628415763,5780
junyi_bkt_test,temporal,bkt,2025,sparse,0.5833956619296934,0.24253721115101012,0.3410195889070293,0.00016113812834614292,10589
junyi_bkt_test,temporal,bkt,2025,very_sparse,0.5657894736842105,0.24457063711911356,0.3231522956326988,0.0019334590676018154,1391
junyi_bkt_test,temporal,bkt,42,medium,0.6539017341040463,0.22564235357011594,0.42860224512021444,0.00034286458628415763,5780
junyi_bkt_test,temporal,bkt,42,sparse,0.5833956619296934,0.24253721115101012,0.3410195889070293,0.00016113812834614292,10589
junyi_bkt_test,temporal,bkt,42,very_sparse,0.5657894736842105,0.24457063711911356,0.3231522956326988,0.0019334590676018154,1391
junyi,learner_based,bkt,42,dense,0.7041386769759862,0.20832740056249396,0.49581127641349226,0.0,3264405
junyi,learner_based,bkt,42,medium,0.5692829457364341,0.24519987343008232,0.3240830723063518,0.0,4617
junyi,learner_based,dkt,42,dense,0.18067448024681124,0.20814344819217692,0.0024013119878846553,0.029639907365344255,3264405
junyi,learner_based,dkt,42,medium,0.29799606530412265,0.24515111141322182,0.06429645718726228,0.01101994687169967,4617
junyi,learner_based,simplekt,42,dense,0.18656406925971414,0.20814344819217692,0.007365256335690428,0.028761972154504975,3264405
junyi,learner_based,simplekt,42,medium,0.22442876276429216,0.24515111141322182,0.011166914591653735,0.031255142624262794,4617
junyi,temporal,bkt,42,dense,0.7068054758392875,0.20705215307963137,0.49975363170828435,3.089486281247293e-07,3072767
junyi,temporal,bkt,42,medium,0.5446001929303731,0.2479912642188895,0.29661900054895374,1.0071837470171384e-05,151597
junyi,temporal,bkt,42,sparse,0.6399337841645534,0.23032972014944186,0.40960873972654893,4.675711437319612e-06,16206
junyi,temporal,bkt,42,very_sparse,0.5203252032520326,0.24958688611276356,0.270738317139269,0.0,2545
junyi,temporal,dkt,42,dense,0.26348490699340116,0.20704048484671117,0.056085255362538236,6.476178876214208e-07,3072767
junyi,temporal,dkt,42,medium,0.32967385293705426,0.24793404784229917,0.08129067014072709,2.80704394680102e-05,151597
junyi,temporal,dkt,42,sparse,0.2934830570977443,0.23055243601033337,0.06281683476509294,0.000492922458730168,16206
junyi,temporal,dkt,42,very_sparse,0.35966514321744303,0.24978288643320043,0.10967676691949084,0.0009104544240738995,2545
junyi,temporal,simplekt,42,dense,0.27971871410127114,0.20704048484671117,0.07231396142094479,9.956359940226702e-07,3072767
junyi,temporal,simplekt,42,medium,0.3394372729174721,0.24793404784229917,0.09115347689417537,3.4250374692539574e-05,151597
junyi,temporal,simplekt,42,sparse,0.30836331057667193,0.23055243601033337,0.07756711628080727,0.00023306862503988062,16206
junyi,temporal,simplekt,42,very_sparse,0.3649132396852538,0.24978288643320043,0.11693686695024721,0.0015594550090713252,2545
