dataset,split,fold,kc_id,train_freq,valid_freq,test_freq,bucket
junyi_bkt_test,learner_based,0,+DlgHAr1GtoQgtGqwoen6pt4/ayVRO+rMaCVZ7jGCHE=,12,4,11,very_sparse
junyi_bkt_test,learner_based,0,+IgBffWedJpxG6Zo/kHbrgIRR4jwwTwa6nV03GLwX5A=,4,0,1,very_sparse
junyi_bkt_test,learner_based,0,+Lgj0Me9/8gtiruGKq8KxemAD15kU4yCfb6nteNDWjw=,2,2,0,very_sparse
junyi_bkt_test,learner_based,0,+N+e7SzcUVowUo7D4udR8rBKRmR1H7yuu5Tleqlhv48=,21,0,7,sparse
junyi_bkt_test,learner_based,0,+ZVl8HEbTM1GOoCTt2wxAfzQswvAWL3L8e5mLuyy1dY=,99,15,27,sparse
junyi_bkt_test,learner_based,0,+aXi8dpg0URdKkJtkicic7DrTHAWPSnR9bwD+QouANE=,28,5,14,sparse
junyi_bkt_test,learner_based,0,+c+5BQh1a2P75VjWgg/aX+j7kru6tteMWrupq+MMQgw=,26,3,8,sparse
junyi_bkt_test,learner_based,0,+cLbiKkV7+VhNPr7OGG3B3kPpZ8er0mvFvqPbM/gm+E=,70,8,24,sparse
junyi_bkt_test,learner_based,0,+fQqnCkVTMs8GPkdZJWUcApXC/Ea9bVtxNIblqLRie4=,11,3,5,very_sparse
junyi_bkt_test,learner_based,0,+g5YlvjiVYzjFfpMkHEGCty7PGcKRuuCVDY/g8dzoD0=,19,3,3,very_sparse
junyi_bkt_test,learner_based,0,+gP/fH6yBDlDTCmjUykZq+rykF0MopXNzQLSxiEVEYY=,11,2,5,very_sparse
junyi_bkt_test,learner_based,0,+kCFtC8nCf9I2/ee1BGgQRlVBoECQV9G/8z4fL7hzp4=,39,2,10,sparse
junyi_bkt_test,learner_based,0,+lmw480dBLSwkBgaKdL9MeVNsUfCgHmD+L4wzqUFX9M=,11,2,4,very_sparse
junyi_bkt_test,learner_based,0,+mwsRV33uKTS+1DrZGfM+z+Ccut/FGocokZm/j0OJ/k=,66,7,16,sparse
junyi_bkt_test,learner_based,0,+odAMeNn6DqBHYkdD0fKH59bzQMwJTqsCW9nqJ1etcI=,39,5,13,sparse
junyi_bkt_test,learner_based,0,+owQ9eTzitOLHF3SZxKwWN9ZpsHjg3tK4A9fpS7E0oo=,40,4,9,sparse
junyi_bkt_test,learner_based,0,+tVk3DLjXUKiZ3/hK6CJAl3Z8sfp093/2DwLqCsFgMA=,56,4,17,sparse
junyi_bkt_test,learner_based,0,+tX4n52MmDdJGGzRnY7I7jEoynqRl6k1jAnonznfs7Q=,17,1,2,very_sparse
junyi_bkt_test,learner_based,0,+xN/geZI+rXD8yB7YBDvLwAXgXO6aORg9eOFv6AfGHM=,63,6,11,sparse
junyi_bkt_test,learner_based,0,+zUL0wWCfsBXNoDj5KsvASLlqd26KU9+nSN1zZ7GsQI=,63,8,10,sparse
junyi_bkt_test,learner_based,0,/0Y1OFJkQGPagfYO9uI6mM0Z9KK7vcmT/QPVos+v7Ec=,27,7,9,sparse
junyi_bkt_test,learner_based,0,/4h6DuvZuZzr028oR886m6kpiLYuUSmpr9v3ITNTgiY=,193,29,58,medium
junyi_bkt_test,learner_based,0,/7bwpUc6iDiE/m0Qj8CJo8qYMkAC51PHzIxTMmkE0nA=,11,3,3,very_sparse
junyi_bkt_test,learner_based,0,/OENQOL30zwAXAy3IN1FbzZFfjfOLaynYaW3w6bk2gw=,14,5,2,very_sparse
junyi_bkt_test,learner_based,0,/SsQisa91ErcEufKW7SNb4xZ6DASvJZ4Ml5/0BluyAA=,32,5,3,sparse
junyi_bkt_test,learner_based,0,/Sw5cJFSX/oGzBxxguGO4BkFKPZmhFXSpCCJVhOtffU=,32,7,12,sparse
junyi_bkt_test,learner_based,0,/ZG3Gxrc7wG0FWxYWExavs4ATbc0nu47cDYJAuQYVvc=,10,0,1,very_sparse
junyi_bkt_test,learner_based,0,/acOsfJkQuYuDq5UjkRrojhkbUcIgia4SvjKpo1v0pI=,50,23,15,sparse
junyi_bkt_test,learner_based,0,/d39FzqaM3PZzpoMXxA80PMICsVhzfL6MGSCqZtsQOo=,56,10,14,sparse
junyi_bkt_test,learner_based,0,/dE70lhbWnFlB1v+ZQBYpQu2XDmodq4HYiBDGZRw3+o=,30,2,4,sparse
junyi_bkt_test,learner_based,0,/dgnkSSQs7RfFOI233RPKNKg29VBS0L7s7IBSmtIWqI=,4,2,1,very_sparse
junyi_bkt_test,learner_based,0,/ejwQaTpw8saI8XVEo0mo08Yf2ko9KW5lwBJRlO8/dM=,2,0,0,very_sparse
junyi_bkt_test,learner_based,0,/fQsOaxbPuYyM7ZO/JBLBRA6HJyOHY8zUN9oLVT5vYM=,90,21,33,sparse
junyi_bkt_test,learner_based,0,/fn8Ym16AvhuhgFRtoeZ4sRU9ZRhvvpYN90SUH7zQ4M=,122,14,34,medium
junyi_bkt_test,learner_based,0,/m+oiUSO1lBCPvQ6LkUyCbWdd7ML4X1IxxuUa8QcDMo=,20,1,7,sparse
junyi_bkt_test,learner_based,0,00KEZbwE/6qJ+WSl9TwUEgbwi/wmnEVgeCnGzi4/EYo=,145,20,28,medium
junyi_bkt_test,learner_based,0,00tlmGnNIf0z+qJsG0NMS4ufwkwwG1nZtKszPesM1EM=,43,4,14,sparse
junyi_bkt_test,learner_based,0,01c8/1Mc1V3LZtYFNre8TolslWChJSztpFHSNAvPlpI=,22,5,7,sparse
junyi_bkt_test,learner_based,0,04Ly7oQJHeLBj2GcKWLn7e51TJmF5MTSvPESVomvUM4=,103,14,29,medium
junyi_bkt_test,learner_based,0,06kRCVdMd4I4CpJxtM7rmBED6keL482Br8ZCE6DU+W4=,43,8,15,sparse
junyi_bkt_test,learner_based,0,0BL+DbelLoGwTw7JvHBXe7pZr1N/E8JVhngim3zzjJ4=,31,4,12,sparse
junyi_bkt_test,learner_based,0,0FMoJE22DcUZEQ3fIPHBSuBfrQEG0vjhpvOoWyeTTXY=,58,6,11,sparse
junyi_bkt_test,learner_based,0,0FaNRnGt8wB5REzt8NnMPYaoTw4/qe+3z2hOkQOvI/s=,31,2,1,sparse
junyi_bkt_test,learner_based,0,0L/eenAcUQ8YSZ6x22wFpagb2l4TXqOSGgRtSI56kvI=,25,2,3,sparse
junyi_bkt_test,learner_based,0,0SEOeLpKd2K4V+T1BhZENWUuLHGTd+x+SQiXWcPAFZc=,11,2,5,very_sparse
junyi_bkt_test,learner_based,0,0TFQA8MIRYvgH+PXVXYkRKMPK/LPcaVH9hTxb5daZ+o=,23,5,4,sparse
junyi_bkt_test,learner_based,0,0f0BGV01H4RbdYLrd/fZN5enqRjIC7Bkzcoqxzgf0YA=,14,3,1,very_sparse
junyi_bkt_test,learner_based,0,0hKXPT2iK/182EPLj3c5qePYUT84KU4JI+P/t6nnmBk=,46,9,13,sparse
junyi_bkt_test,learner_based,0,0jLx3N/h3zT921WmSVhS4e0TPADpzOygjsvjtTOolmc=,43,4,23,sparse
junyi_bkt_test,learner_based,0,0k/ZE9Ku+2Enji5zKQZ5mrfr9r+Noh1CS9kH0GKGf0Q=,17,3,5,very_sparse
junyi_bkt_test,learner_based,0,0lDY2d/yzs1IgpdsEVNAptv7CcTNSmBXzskCNgPAJTU=,7,1,5,very_sparse
junyi_bkt_test,learner_based,0,0nHTRYRZznXBRGpGHElXm2Gw+zHjWz37H+X3XCvUxQI=,10,6,2,very_sparse
junyi_bkt_test,learner_based,0,0o4JbsG6rcRJSeQKtJ2tAUo1PL+wlyvYlEr/nB4zkOo=,60,4,12,sparse
junyi_bkt_test,learner_based,0,0oPDO0zy0NDr7kBNesLy+ZbkNuyynak8fcfE05h+pwc=,11,0,4,very_sparse
junyi_bkt_test,learner_based,0,0scVV//lTsPR9BCw3T2WDN6f9c0ASzANn/bUBJM4+gI=,0,1,0,very_sparse
junyi_bkt_test,learner_based,0,0zOX/8KkAItZEgHsWUWF2Ac2jsFVbT6TWnAuugSAteU=,66,7,23,sparse
junyi_bkt_test,learner_based,0,1/laFoxMaEJLQfaHo92bbuIVjnq33aptQA8IY+0Hu+8=,7,0,2,very_sparse
junyi_bkt_test,learner_based,0,1832ZH2Snk3B6ztlqJVE6Ias3IiPSH5gGZBuYAy7SvI=,132,17,35,medium
junyi_bkt_test,learner_based,0,1Fy/09VqlDTU2ABClPQcq/zyTpDz9LpnuIS7kowjjEA=,20,5,3,sparse
