dataset,split,model,seed,auc,acc,nll,brier,rmse
assist2012,learner_based,irt_1pl,42,0.5,0.697790882710849,0.6127308243663628,0.2108814483407381,0.4592183014000402
assist2012,learner_based,irt_1pl,2024,0.5,0.6970085564571403,0.6133792661614392,0.2111882995475121,0.4595522816258364
assist2012,learner_based,irt_1pl,2025,0.5,0.6975832307194698,0.6129023971323717,0.210962666065953,0.4593067232971373
assist2012,learner_based,dkt,42,0.6989399535313159,0.7186314705607039,0.5803353995860621,0.1929254396334225,0.4392327852442512
assist2012,learner_based,dkt,2024,0.6986869037663477,0.7191532718683441,0.5800310396666192,0.1929015751447552,0.4392056182982582
assist2012,learner_based,dkt,2025,0.698425123915711,0.718771811356943,0.5801572640829469,0.1929959757947953,0.4393130726427287
assist2012,learner_based,simplekt,42,0.6837029867791296,0.6994795469437424,0.698541970290002,0.212110192959112,0.4605542236904488
assist2012,learner_based,simplekt,2024,0.6802224332197606,0.695178978089279,0.6976111963445477,0.2143287990306417,0.4629565843906335
assist2012,learner_based,simplekt,2025,0.683665420256908,0.6985573531108551,0.6963556907411216,0.2125982957374318,0.4610838272347359
assist2012,temporal,irt_1pl,42,0.5913035063595129,0.6907689384175699,0.6048528745998593,0.2081959624599495,0.4562849575210095
assist2012,temporal,irt_1pl,2024,0.5916386363374402,0.6904095774404091,0.6048146431606845,0.2081916151177259,0.456280193650487
assist2012,temporal,irt_1pl,2025,0.5916623713949751,0.6902929262331632,0.6048167993999466,0.2081781673206941,0.4562654570759155
assist2012,temporal,irt_1pl,2026,0.5926382588399579,0.690415221853663,0.6046355393533565,0.2081143810570954,0.4561955513341789
assist2012,temporal,irt_1pl,2027,0.591227530103087,0.6901649861994096,0.6050619936527402,0.2083035401551533,0.4564028266292325
assist2012,temporal,dkt,42,0.6605877175366218,0.6914594383056224,0.6361696008697462,0.2110954850494136,0.459451286916702
assist2012,temporal,dkt,2024,0.6625197255360045,0.6918677175309831,0.6357526727608964,0.2109349908001315,0.4592765950929043
assist2012,temporal,dkt,2025,0.6604771033285632,0.6905807913091088,0.6395035498307067,0.2120293870630159,0.4604664885341993
assist2012,temporal,dkt,2026,0.6599703338524894,0.6910869070308693,0.6381816047158948,0.2118891095622637,0.4603141422575063
assist2012,temporal,dkt,2027,0.6608987642027204,0.6922854041117669,0.6363230850459716,0.2109841556995004,0.4593301162557278
assist2012,temporal,simplekt,42,0.6730586192259105,0.679621222241246,0.7647698675203229,0.227662745846395,0.4771401742113056
assist2012,temporal,simplekt,2024,0.6750530940140449,0.6779730535711261,0.7534750619430337,0.2273597686410344,0.4768225756411229
assist2012,temporal,simplekt,2025,0.6731301076750636,0.6789401297086166,0.7545687219314399,0.2275316301958233,0.4770027570107151
assist2012,temporal,simplekt,2026,0.6735136295933777,0.68110382145592,0.7635828908203546,0.2265858449627062,0.4760103412350473
assist2012,temporal,simplekt,2027,0.674788400539336,0.6776306258337269,0.7612530430511362,0.2274472795788026,0.4769143314881642
junyi,learner_based,irt_1pl,42,0.5,0.7043981349773725,0.6070977140735917,0.208223959875071,0.4563156362377593
junyi,learner_based,irt_1pl,2024,0.5,0.7076829126188452,0.6042666030035501,0.2068899786853572,0.4548516007285862
junyi,learner_based,irt_1pl,2025,0.5,0.7036699713422185,0.6077232099036887,0.2085187974812934,0.4566385851866807
junyi,learner_based,dkt,42,0.7325663255875674,0.7332734377437655,0.5442189717560367,0.1808401792718437,0.4252530767341299
junyi,learner_based,dkt,2024,0.7324230717222795,0.735837377301455,0.5414269626354152,0.179673891570282,0.4238795720134223
junyi,learner_based,dkt,2025,0.731536842722013,0.7325965158203406,0.5447171203665876,0.1812037210786431,0.4256803038415603
junyi,learner_based,simplekt,42,0.7261242578405391,0.7288452020206655,0.5958542431676748,0.1866603947940343,0.4320421215507052
junyi,learner_based,simplekt,2024,0.7252603324537382,0.7284634364650957,0.5934210001749053,0.1865906650152819,0.4319614161187107
junyi,learner_based,simplekt,2025,0.7242338280790755,0.7299103000500011,0.5990342953908122,0.1866221531767116,0.4319978624677576
xes3g5m,learner_based,irt_1pl,42,0.5,0.8005804641529856,0.5601181313966875,0.1850194785304128,0.4301389060878041
xes3g5m,learner_based,irt_1pl,2024,0.5,0.7954401741882429,0.5630581052738246,0.1864506905001804,0.431799363709791
xes3g5m,learner_based,irt_1pl,2025,0.5,0.7943382907468964,0.5632318244719808,0.1865475797938074,0.4319115416306995
xes3g5m,learner_based,dkt,42,0.8193738173061296,0.835742056826848,0.3862111484508116,0.1201264596517703,0.3465926422354785
xes3g5m,learner_based,dkt,2024,0.8183753046718523,0.8350753496119062,0.3864668372242793,0.1203948102904443,0.3469795531302159
xes3g5m,learner_based,dkt,2025,0.8191678243193907,0.8315502815918663,0.3911127963466065,0.1223281374148382,0.3497543958477695
xes3g5m,learner_based,simplekt,42,0.7565023121139166,0.8094589768422563,0.6082956193953384,0.1521555080466821,0.3900711576708563
xes3g5m,learner_based,simplekt,2024,0.7560195553147913,0.8101210054100756,0.6071137027502207,0.1518391644617821,0.38966545197359
xes3g5m,learner_based,simplekt,2025,0.7571327169377053,0.8065278539211045,0.6210782045588867,0.1546236365043666,0.3932221210770913
xes3g5m,temporal,irt_1pl,42,0.6315801007274225,0.7800744683459239,0.5136996877425186,0.1686045392939346,0.4106148308255982
xes3g5m,temporal,irt_1pl,2024,0.6301435412315823,0.7800015464471634,0.513688276882383,0.1686185943224551,0.4106319450827653
junyi,temporal,irt_1pl,42,0.6524607058015449,0.7157060418764059,0.5738381949233701,0.1947005177475798,0.4412488161429783
xes3g5m,temporal,irt_1pl,2025,0.6315297795528347,0.7812179591549357,0.5118531870819196,0.1679018613104108,0.4097582962069356
xes3g5m,temporal,irt_1pl,2026,0.6315053993625421,0.7806496712542503,0.5131746880494318,0.1683916679841276,0.4103555385079232
xes3g5m,temporal,irt_1pl,2027,0.6325134804023257,0.7803887868750641,0.5126662432190447,0.1682301356003002,0.4101586712484575
junyi,temporal,irt_1pl,2024,0.6524498972735212,0.7155623528613694,0.5738373647422635,0.1947049000099864,0.4412537818647977
junyi,temporal,irt_1pl,2025,0.6525692574233672,0.715716525624284,0.5738489440318622,0.1947038575829371,0.4412526006528881
junyi,temporal,irt_1pl,2026,0.6523835052573461,0.7157868284041732,0.5738488696991286,0.1947041750185796,0.4412529603510662
junyi,temporal,irt_1pl,2027,0.6525910996207469,0.715620938511277,0.573845902620127,0.1947076266477242,0.4412568715019905
xes3g5m,temporal,dkt,42,0.6429352312694151,0.7097463260878721,0.6428729845457184,0.1972104183532882,0.4440837965444002
junyi,temporal,dkt,42,0.6949106858101545,0.7148460662048679,0.618059340133063,0.1982384816244602,0.4452398023812115
junyi,temporal,simplekt,42,0.7166881267291503,0.7197752777807755,0.6319723808422418,0.1945570079142195,0.4410861683551407
xes3g5m,temporal,simplekt,42,0.6433068495203912,0.7075247227239095,0.9014406631684394,0.2203652554668433,0.4694307781418292
junyi,temporal,dkt,2026,0.6933189220370186,0.7148503830422295,0.6389527880303266,0.1997413273390585,0.4469242971008161
junyi,temporal,dkt,2027,0.6934142837527196,0.7156394392428267,0.638565557483963,0.199613760249192,0.4467815576422017
xes3g5m,temporal,dkt,2026,0.6524123555998416,0.7215929914511646,0.6788375595170678,0.1912262566064771,0.4372942448814953
xes3g5m,temporal,dkt,2024,0.6331737224709632,0.7059430718852763,0.7159316303188361,0.2055482656278126,0.4533743107276951
xes3g5m,temporal,dkt,2025,0.6455363783960615,0.7105459524260047,0.7086325864948354,0.2021237406942778,0.4495817397251337
xes3g5m,temporal,dkt,2027,0.6333726543337921,0.7068891706579882,0.727791581661177,0.2042323050296322,0.451920684445437
junyi,temporal,dkt,2024,0.698185824843438,0.7168080687857199,0.6246708876394924,0.1975325250487204,0.4444463128981052
junyi,temporal,dkt,2025,0.6946658792274159,0.715169212315937,0.6333436659818356,0.1993441630715598,0.4464797454214019
junyi,temporal,simplekt,2024,0.7113427295524934,0.7148263320912148,0.6927128209225595,0.2005300791076981,0.4478058497917352
junyi,temporal,simplekt,2025,0.7143086329745537,0.7164710471259884,0.672301107008953,0.1981243742706615,0.4451116424793464
junyi,temporal,simplekt,2026,0.7125682501459162,0.7170720125558299,0.6812481217417612,0.199253482474863,0.4463781832424867
junyi,temporal,simplekt,2027,0.7097029384125455,0.7121831942438057,0.6822622138790474,0.2014774456648159,0.4488623905662134
xes3g5m,temporal,simplekt,2024,0.6416776623521685,0.7066546890352495,1.015588066667261,0.218016327997895,0.4669221862343822
xes3g5m,temporal,simplekt,2025,0.640765723072072,0.7113166614594564,0.9733546756277344,0.2144217605738715,0.4630569733562723
xes3g5m,temporal,simplekt,2026,0.6535961978907001,0.7216677992611,0.9832501952945129,0.2145950143327858,0.4632440116534544
xes3g5m,temporal,simplekt,2027,0.6485708455083362,0.7160729294424052,0.9539135482411062,0.2150902170936102,0.4637781981654703
assist2012,learner_based,irt_1pl,2026,0.5,0.6975832307194698,0.6129023971323717,0.210962666065953,0.4593067232971373
junyi,learner_based,irt_1pl,2026,0.5,0.7036699713422185,0.6077232099036887,0.2085187974812934,0.4566385851866807
xes3g5m,learner_based,irt_1pl,2026,0.5,0.7943382907468964,0.5632318244719808,0.1865475797938074,0.4319115416306995
assist2012,learner_based,irt_1pl,2027,0.5,0.6969735737726527,0.6134090933158803,0.2112023724907712,0.4595675929509948
junyi,learner_based,irt_1pl,2027,0.5,0.705516085104446,0.6061381577728896,0.2077716167328565,0.4558197195524306
xes3g5m,learner_based,irt_1pl,2027,0.5,0.7938449071517784,0.5637299051119048,0.1867842032292013,0.4321853806287313
assist2012,learner_based,dkt,2026,0.6982848473423696,0.7188569288474524,0.586755138709121,0.1936977385399453,0.4401110525082792
assist2012,learner_based,dkt,2027,0.6958076036648345,0.7160842739426505,0.5906598568935528,0.1951109123011763,0.4417136089155238
junyi,learner_based,dkt,2026,0.7296427917328608,0.7328779156318366,0.5485991980240024,0.1816283437333523,0.4261787696886746
junyi,learner_based,dkt,2027,0.7322483645908582,0.7353398778839455,0.5438443928989767,0.1800510704598064,0.4243242515574692
xes3g5m,learner_based,dkt,2026,0.8136253719263128,0.8296163757309065,0.4029888659918013,0.1244213518087245,0.3527341092221229
xes3g5m,learner_based,dkt,2027,0.8143369455534222,0.8293168318217663,0.4031018789982822,0.1246120708069752,0.3530043495581537
assist2012,learner_based,simplekt,2026,0.6868869860354221,0.7039027315148454,0.7030567437547265,0.2091522749340859,0.4573316902796983
assist2012,learner_based,simplekt,2027,0.6855956045082103,0.7023623298810403,0.709393529357331,0.2100538880343047,0.4583163623898941
junyi,learner_based,simplekt,2026,0.7183406135361105,0.7218999326243167,0.6449175469325771,0.1938036982642872,0.4402314144450476
junyi,learner_based,simplekt,2027,0.7198151240737429,0.7264214103911178,0.6168931886139998,0.1901422726098009,0.4360530616906627
xes3g5m,learner_based,simplekt,2026,0.7559685012256907,0.80275855198591,0.6325491099312927,0.1573492722919428,0.3966727521420432
xes3g5m,learner_based,simplekt,2027,0.7537512564207893,0.8026203433961031,0.6384461078691042,0.15779757051745769,0.39723742335970524
