dataset,split_mode,model,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std
assist2012,learner_based,irt_1pl,0.5,0.0,0.6973878948759162,0.0003722468909293452,0.6130647956216851,0.0003089158302213854,0.45939032451422923,0.00015907897683796812
assist2012,learner_based,dkt,0.6980288864441158,0.0012668511489712607,0.7182995513152187,0.001253012596326677,0.5835877397876604,0.004874506446444234,0.4399152275218082,0.0010728916852754222
assist2012,learner_based,simplekt,0.6840146861598861,0.002517426013605498,0.6998961879079524,0.0034041292824203394,0.7009918260975457,0.005333308181703882,0.46004853759708214,0.0022453267861669074
assist2012,temporal,irt_1pl,0.5913035063595129,0.0,0.6907689384175699,0.0,0.6048528745998593,0.0,0.45628495752100956,0.0
assist2012,temporal,dkt,0.6605877175366218,0.0,0.6914594383056224,0.0,0.6361696008697462,0.0,0.459451286916702,0.0
assist2012,temporal,simplekt,0.6730586192259105,0.0,0.679621222241246,0.0,0.7647698675203229,0.0,0.4771401742113056,0.0
junyi,learner_based,irt_1pl,0.5,0.0,0.7049874150770201,0.001685509271738114,0.6065897789314818,0.0014515885874719489,0.4560528253784275,0.0007504294835646212
junyi,learner_based,dkt,0.7316834792711158,0.0012074164508437744,0.7339850248762686,0.0014938909518561296,0.5445613291362037,0.0025876686209687504,0.4250631947670513,0.0009497876166429926
junyi,learner_based,simplekt,0.7227548311966412,0.003462123617056984,0.7271080563102393,0.0031742454027129975,0.6100240548559939,0.021575220676809722,0.43445717525457683,0.003674173688936993
junyi,temporal,irt_1pl,0.6524607058015449,0.0,0.7157060418764059,0.0,0.5738381949233702,0.0,0.4412488161429783,0.0
junyi,temporal,dkt,0.6949106858101545,0.0,0.7148460662048679,0.0,0.6180593401330602,0.0,0.4452398023812115,0.0
junyi,temporal,simplekt,0.7166881267291503,0.0,0.7197752777807755,0.0,0.6319723808422417,0.0,0.4410861683551407,0.0
xes3g5m,learner_based,irt_1pl,0.5,0.0,0.79570842539736,0.0027854962986839167,0.5626739581452757,0.0014506268522992902,0.4315893467375451,0.0008232193973729744
xes3g5m,learner_based,dkt,0.8169758527554215,0.0027705140315965235,0.8322601791166587,0.0030085545301106425,0.3939763054023553,0.008505759824157823,0.3498130099987481,0.0030463154314459276
xes3g5m,learner_based,simplekt,0.7558748684025787,0.0012762540700764213,0.8062973463110898,0.0035606469212729327,0.6214965489009644,0.014060160647553294,0.3933737812446572,0.0035529202296940956
xes3g5m,temporal,irt_1pl,0.6315801007274225,0.0,0.7800744683459239,0.0,0.5136996877425186,0.0,0.41061483082559824,0.0
xes3g5m,temporal,dkt,0.6429352312694151,0.0,0.7097463260878721,0.0,0.6428729845457107,0.0,0.4440837965444002,0.0
xes3g5m,temporal,simplekt,0.6433068495203912,0.0,0.7075247227239095,0.0,0.9014406631683765,0.0,0.4694307781418293,0.0
