dataset,split_mode,model,seed,setting,bucket,auc,ece
assist2012,learner_based,bkt,42,Main,dense,0.5,0.7112948334663031
assist2012,learner_based,bkt,42,Main,medium,0.5,0.5693352394567548
assist2012,learner_based,bkt,42,Main,sparse,0.5,0.42857142857142855
assist2012,learner_based,bkt,42,Main,very_sparse,,
assist2012,learner_based,bkt,42,Alt_1,dense,0.5,0.7105865827964213
assist2012,learner_based,bkt,42,Alt_1,medium,0.5,0.5814360770577933
assist2012,learner_based,bkt,42,Alt_1,sparse,0.5,0.23076923076923078
assist2012,learner_based,bkt,42,Alt_1,very_sparse,,
assist2012,learner_based,bkt,42,Alt_2,dense,0.5,0.7114350317212916
assist2012,learner_based,bkt,42,Alt_2,medium,0.5,0.5771028037383178
assist2012,learner_based,bkt,42,Alt_2,sparse,0.5,0.6293103448275862
assist2012,learner_based,bkt,42,Alt_2,very_sparse,,
assist2012,learner_based,bkt,123,Main,dense,0.5,0.7106639934258928
assist2012,learner_based,bkt,123,Main,medium,0.5,0.5934990439770554
assist2012,learner_based,bkt,123,Main,sparse,0.5,0.53125
assist2012,learner_based,bkt,123,Main,very_sparse,0.5,0.3333333333333333
assist2012,learner_based,bkt,123,Alt_1,dense,0.5,0.7100528987214357
assist2012,learner_based,bkt,123,Alt_1,medium,0.5,0.6672694394213382
assist2012,learner_based,bkt,123,Alt_1,sparse,0.5,0.5238095238095238
assist2012,learner_based,bkt,123,Alt_1,very_sparse,,
assist2012,learner_based,bkt,123,Alt_2,dense,0.5,0.7108646962580055
assist2012,learner_based,bkt,123,Alt_2,medium,0.5,0.5948350071736012
assist2012,learner_based,bkt,123,Alt_2,sparse,0.5,0.7254901960784313
assist2012,learner_based,bkt,123,Alt_2,very_sparse,0.5,0.5
assist2012,learner_based,bkt,2024,Main,dense,0.5,0.7112948334663031
assist2012,learner_based,bkt,2024,Main,medium,0.5,0.5693352394567548
assist2012,learner_based,bkt,2024,Main,sparse,0.5,0.42857142857142855
assist2012,learner_based,bkt,2024,Main,very_sparse,,
assist2012,learner_based,bkt,2024,Alt_1,dense,0.5,0.7105865827964213
assist2012,learner_based,bkt,2024,Alt_1,medium,0.5,0.5814360770577933
assist2012,learner_based,bkt,2024,Alt_1,sparse,0.5,0.23076923076923078
assist2012,learner_based,bkt,2024,Alt_1,very_sparse,,
assist2012,learner_based,bkt,2024,Alt_2,dense,0.5,0.7114350317212916
assist2012,learner_based,bkt,2024,Alt_2,medium,0.5,0.5771028037383178
assist2012,learner_based,bkt,2024,Alt_2,sparse,0.5,0.6293103448275862
assist2012,learner_based,bkt,2024,Alt_2,very_sparse,,
assist2012,learner_based,bkt,2025,Main,dense,0.5,0.7106639934258928
assist2012,learner_based,bkt,2025,Main,medium,0.5,0.5934990439770554
assist2012,learner_based,bkt,2025,Main,sparse,0.5,0.53125
assist2012,learner_based,bkt,2025,Main,very_sparse,0.5,0.3333333333333333
assist2012,learner_based,bkt,2025,Alt_1,dense,0.5,0.7100528987214357
assist2012,learner_based,bkt,2025,Alt_1,medium,0.5,0.6672694394213382
assist2012,learner_based,bkt,2025,Alt_1,sparse,0.5,0.5238095238095238
assist2012,learner_based,bkt,2025,Alt_1,very_sparse,,
assist2012,learner_based,bkt,2025,Alt_2,dense,0.5,0.7108646962580055
assist2012,learner_based,bkt,2025,Alt_2,medium,0.5,0.5948350071736012
assist2012,learner_based,bkt,2025,Alt_2,sparse,0.5,0.7254901960784313
assist2012,learner_based,bkt,2025,Alt_2,very_sparse,0.5,0.5
assist2012,learner_based,bkt,2026,Main,dense,0.5,0.7124772797801125
assist2012,learner_based,bkt,2026,Main,medium,0.5,0.5165016501650165
assist2012,learner_based,bkt,2026,Main,sparse,0.5,0.5517241379310345
assist2012,learner_based,bkt,2026,Main,strict_cold_start,,0.5
assist2012,learner_based,bkt,2026,Main,very_sparse,0.5,0.5
assist2012,learner_based,bkt,2026,Alt_1,dense,0.5,0.7111786603229145
assist2012,learner_based,bkt,2026,Alt_1,medium,0.5,0.5534591194968553
assist2012,learner_based,bkt,2026,Alt_1,sparse,0.5,0.6363636363636364
assist2012,learner_based,bkt,2026,Alt_1,strict_cold_start,,0.5
assist2012,learner_based,bkt,2026,Alt_1,very_sparse,,
assist2012,learner_based,bkt,2026,Alt_2,dense,0.5,0.7126648648768691
assist2012,learner_based,bkt,2026,Alt_2,medium,0.5,0.5408820023837903
assist2012,learner_based,bkt,2026,Alt_2,sparse,0.5,0.4389438943894389
assist2012,learner_based,bkt,2026,Alt_2,strict_cold_start,,0.5
assist2012,learner_based,bkt,2026,Alt_2,very_sparse,0.5,0.75
assist2012,learner_based,dkt,42,Main,dense,0.6977559101398016,0.05890387131446633
assist2012,learner_based,dkt,42,Main,medium,0.759269759624147,0.15022649112810504
assist2012,learner_based,dkt,42,Main,sparse,0.7259499784212582,0.23426983637281545
assist2012,learner_based,dkt,42,Main,very_sparse,1.0,0.08353434641718527
assist2012,learner_based,dkt,42,Alt_1,dense,0.698796252062064,0.05964115359790753
assist2012,learner_based,dkt,42,Alt_1,medium,0.7393233788178553,0.14568964693173486
assist2012,learner_based,dkt,42,Alt_1,sparse,0.7351544784580499,0.24991186586968844
assist2012,learner_based,dkt,42,Alt_1,very_sparse,1.0,0.05796977386732272
assist2012,learner_based,dkt,42,Alt_2,dense,0.6978159468833676,0.058703008289551765
assist2012,learner_based,dkt,42,Alt_2,medium,0.7432764522772968,0.14650415156349414
assist2012,learner_based,dkt,42,Alt_2,sparse,0.7487654320987653,0.1964149044902927
assist2012,learner_based,dkt,42,Alt_2,very_sparse,0.7379879879879879,0.2522308224924596
assist2012,learner_based,dkt,2024,Main,dense,0.6973109306134865,0.0586155805274895
assist2012,learner_based,dkt,2024,Main,medium,0.7777214957426538,0.13167160932363847
assist2012,learner_based,dkt,2024,Main,sparse,0.7263976460697772,0.24163089119298298
assist2012,learner_based,dkt,2024,Main,very_sparse,0.888888888888889,0.28732718933477164
assist2012,learner_based,dkt,2024,Alt_1,dense,0.6985816347497953,0.05914111515307005
assist2012,learner_based,dkt,2024,Alt_1,medium,0.7409901129611799,0.14748894319039574
assist2012,learner_based,dkt,2024,Alt_1,sparse,0.7348862142906551,0.23866086628545985
assist2012,learner_based,dkt,2024,Alt_1,very_sparse,1.0,0.018196152348536946
assist2012,learner_based,dkt,2024,Alt_2,dense,0.6973120613011257,0.058457191297092294
assist2012,learner_based,dkt,2024,Alt_2,medium,0.7652020234448094,0.12853225315056635
assist2012,learner_based,dkt,2024,Alt_2,sparse,0.7328675116455421,0.2049616230315608
assist2012,learner_based,dkt,2024,Alt_2,very_sparse,0.771908271908272,0.21816680663602528
assist2012,learner_based,dkt,2025,Main,dense,0.6968954297212642,0.059092559240781474
assist2012,learner_based,dkt,2025,Main,medium,0.7635251158156611,0.15023331019361552
assist2012,learner_based,dkt,2025,Main,sparse,0.7485534285096258,0.2134894395079884
assist2012,learner_based,dkt,2025,Main,very_sparse,0.8163265306122448,0.235024457859427
assist2012,learner_based,dkt,2025,Alt_1,dense,0.6982993946989251,0.05968319047258966
assist2012,learner_based,dkt,2025,Alt_1,medium,0.7177521754644258,0.1808296731264571
assist2012,learner_based,dkt,2025,Alt_1,sparse,0.7628857018687528,0.23672349305640827
assist2012,learner_based,dkt,2025,Alt_1,very_sparse,0.4,0.3322106940110891
assist2012,learner_based,dkt,2025,Alt_2,dense,0.6966497382535413,0.05893008508116989
assist2012,learner_based,dkt,2025,Alt_2,medium,0.7506811075679309,0.1431843110708268
assist2012,learner_based,dkt,2025,Alt_2,sparse,0.7431996986943421,0.19730293831876594
assist2012,learner_based,dkt,2025,Alt_2,very_sparse,0.7200176366843033,0.27853228945354563
assist2012,learner_based,dkt,2026,Main,dense,0.6974099884859657,0.06108696642547179
assist2012,learner_based,dkt,2026,Main,medium,0.7341994538200473,0.19466508027434445
assist2012,learner_based,dkt,2026,Main,sparse,0.740818511198946,0.23091347147431884
