Dataset,Model,Bucket,Rel.,KCs,Events,AUC,ACC,NLL,RMSE
ASSISTments 2012,BKT,dense,R,147,"458,732",0.5000,0.2887 \pm 0.0006,24.5663 \pm 0.0206,0.8434 \pm 0.0004
,,medium,R,67,"2,827",0.5000,0.4354 \pm 0.0217,19.5013 \pm 0.7489,0.7513 \pm 0.0146
,,sparse,I,6,30,0.5000,0.5092 \pm 0.0606,16.9524 \pm 2.0928,0.6995 \pm 0.0434
,,very\_sparse,I,1,3,0.5000,0.4000 \pm 0.1732,11.6978 \pm 9.6503,0.6205 \pm 0.1500
,DKT,dense,R,147,"530,911",0.6974 \pm 0.0011,0.7188 \pm 0.0003,0.5781 \pm 0.0004,0.4388 \pm 0.0001
,,medium,R,68,"5,650",0.7676 \pm 0.0100,0.6961 \pm 0.0109,0.7330 \pm 0.0253,0.4684 \pm 0.0075
,,sparse,L,38,443,0.7313 \pm 0.0257,0.6927 \pm 0.0243,1.1026 \pm 0.1148,0.5015 \pm 0.0173
,,very\_sparse,I,7,10,0.9259 \pm 0.1283,0.7980 \pm 0.1225,0.3618 \pm 0.2565,0.3383 \pm 0.1362
,SimpleKT,dense,R,147,"530,911",0.6813 \pm 0.0009,0.6993 \pm 0.0010,0.6942 \pm 0.0049,0.4606 \pm 0.0010
,,medium,R,68,"5,650",0.7595 \pm 0.0118,0.6939 \pm 0.0071,0.7751 \pm 0.0288,0.4750 \pm 0.0074
,,sparse,L,38,443,0.7191 \pm 0.0093,0.6807 \pm 0.0083,1.1550 \pm 0.0325,0.5135 \pm 0.0050
,,very\_sparse,I,7,10,0.9222 \pm 0.0839,0.6700 \pm 0.1345,0.8358 \pm 0.2781,0.5008 \pm 0.0849
Junyi Academy,BKT,dense,R,"1,293","2,918,783",0.5000,0.2959,24.3201,0.8391
,,medium,R,33,"4,128",0.5000,0.4307,19.6623,0.7545
,DKT,dense,R,"1,293","3,264,405",0.7329 \pm 0.0002,0.7335 \pm 0.0000,0.5437 \pm 0.0001,0.4251 \pm 0.0000
,,medium,R,33,"4,617",0.6134 \pm 0.0086,0.5826 \pm 0.0135,1.0007 \pm 0.0048,0.5494 \pm 0.0049
,SimpleKT,dense,R,"1,293","3,264,405",0.7260 \pm 0.0010,0.7286 \pm 0.0000,0.5942 \pm 0.0012,0.4319 \pm 0.0000
,,medium,R,33,"4,617",0.6991 \pm 0.0107,0.6475 \pm 0.0115,0.6704 \pm 0.0063,0.4763 \pm 0.0036
XES3G5M,BKT,dense,R,458,"767,845",0.5000,0.1881,28.0409,0.9010
,,medium,R,100,"2,030",0.5000,0.1527,29.2644,0.9205
,,sparse,I,27,80,0.5000,0.3750,21.5867,0.7906
,,very\_sparse,I,5,6,0.9000,0.8333,6.2186,0.5774
,DKT,dense,R,498,"1,267,014",0.8185 \pm 0.0007,0.8352 \pm 0.0004,0.3856 \pm 0.0002,0.3468 \pm 0.0002
,,medium,R,172,"13,137",0.8661 \pm 0.0002,0.8520 \pm 0.0026,0.4194 \pm 0.0008,0.3378 \pm 0.0025
,,sparse,R,122,"2,164",0.8572 \pm 0.0041,0.8304 \pm 0.0007,0.6261 \pm 0.0069,0.3682 \pm 0.0054
,,very\_sparse,L,40,107,0.8742 \pm 0.0083,0.8178 \pm 0.0330,0.7156 \pm 0.0347,0.3868 \pm 0.0222
,SimpleKT,dense,R,498,"1,267,014",0.7551 \pm 0.0003,0.8094 \pm 0.0005,0.6078 \pm 0.0011,0.3902 \pm 0.0003
,,medium,R,172,"13,137",0.8381 \pm 0.0040,0.8427 \pm 0.0040,0.5841 \pm 0.0243,0.3600 \pm 0.0045
,,sparse,R,122,"2,164",0.8495 \pm 0.0046,0.8221 \pm 0.0026,0.6735 \pm 0.0047,0.3782 \pm 0.0023
,,very\_sparse,L,40,107,0.8492 \pm 0.0032,0.7897 \pm 0.0066,0.8765 \pm 0.0616,0.4088 \pm 0.0111
