dataset,model,seed/fold,C1,C2,C3,C4,C1_minus_C2,C2_minus_C3,C3_minus_C4,named_reason
assist2012,irt_1pl,fold_0/seed_42,534150,534150,534150,534150,0,0,0,none
assist2012,dkt,fold_0/seed_42,534150,534150,534150,534150,0,0,0,none
assist2012,simplekt,fold_0/seed_42,534150,534150,534150,534150,0,0,0,none
assist2012,irt_1pl,fold_1/seed_2024,542748,542748,542748,542748,0,0,0,none
assist2012,dkt,fold_1/seed_2024,542748,542748,542748,542748,0,0,0,none
assist2012,simplekt,fold_1/seed_2024,542748,542748,542748,542748,0,0,0,none
assist2012,irt_1pl,fold_2/seed_2025,528681,528681,528681,528681,0,0,0,none
assist2012,dkt,fold_2/seed_2025,528681,528681,528681,528681,0,0,0,none
assist2012,simplekt,fold_2/seed_2025,528681,528681,528681,528681,0,0,0,none
assist2012,irt_1pl,fold_3/seed_2026,528681,528681,528681,0,0,0,528681,dropped_during_kc_strata_join
assist2012,dkt,fold_3/seed_2026,528681,528681,528681,0,0,0,528681,dropped_during_kc_strata_join
assist2012,simplekt,fold_3/seed_2026,528681,528681,528681,0,0,0,528681,dropped_during_kc_strata_join
assist2012,irt_1pl,fold_4/seed_2027,515889,515889,515889,0,0,0,515889,dropped_during_kc_strata_join
assist2012,dkt,fold_4/seed_2027,515889,515889,515889,0,0,0,515889,dropped_during_kc_strata_join
assist2012,simplekt,fold_4/seed_2027,515889,515889,515889,0,0,0,515889,dropped_during_kc_strata_join
junyi,irt_1pl,fold_0/seed_42,3269022,3269022,3269022,3269022,0,0,0,none
junyi,dkt,fold_0/seed_42,3269022,3269022,3269022,3269022,0,0,0,none
junyi,simplekt,fold_0/seed_42,3269022,3269022,3269022,3269022,0,0,0,none
junyi,irt_1pl,fold_1/seed_2024,3243926,3243926,3243926,3243926,0,0,0,none
junyi,dkt,fold_1/seed_2024,3243926,3243926,3243926,3243926,0,0,0,none
junyi,simplekt,fold_1/seed_2024,3243926,3243926,3269022,3269022,0,-25096,0,fold_misalignment_or_missing_predictions
junyi,irt_1pl,fold_2/seed_2025,3244494,3244494,3244494,3244494,0,0,0,none
junyi,dkt,fold_2/seed_2025,3244494,3244494,3244494,3244494,0,0,0,none
junyi,simplekt,fold_2/seed_2025,3244494,3244494,3243926,3243926,0,568,0,fold_misalignment_or_missing_predictions
junyi,irt_1pl,fold_3/seed_2026,3244494,3244494,3244494,0,0,0,3244494,dropped_during_kc_strata_join
junyi,dkt,fold_3/seed_2026,3244494,3244494,3244494,0,0,0,3244494,dropped_during_kc_strata_join
junyi,simplekt,fold_3/seed_2026,3244494,3244494,3244494,0,0,0,3244494,dropped_during_kc_strata_join
junyi,irt_1pl,fold_4/seed_2027,3163548,3163548,3163548,0,0,0,3163548,dropped_during_kc_strata_join
junyi,dkt,fold_4/seed_2027,3163548,3163548,3163548,0,0,0,3163548,dropped_during_kc_strata_join
junyi,simplekt,fold_4/seed_2027,3163548,3163548,3163548,0,0,0,3163548,dropped_during_kc_strata_join
xes3g5m,irt_1pl,fold_0/seed_42,1589145,1589145,1282422,1282422,0,306723,0,fold_misalignment_or_missing_predictions
xes3g5m,dkt,fold_0/seed_42,1589145,1589145,1282422,1282422,0,306723,0,fold_misalignment_or_missing_predictions
xes3g5m,simplekt,fold_0/seed_42,1589145,1589145,1282422,1282422,0,306723,0,fold_misalignment_or_missing_predictions
xes3g5m,irt_1pl,fold_1/seed_2024,1590128,1590128,1284128,1284128,0,306000,0,fold_misalignment_or_missing_predictions
xes3g5m,dkt,fold_1/seed_2024,1590128,1590128,1282422,1282422,0,307706,0,fold_misalignment_or_missing_predictions
xes3g5m,simplekt,fold_1/seed_2024,1590128,1590128,1282422,1282422,0,307706,0,fold_misalignment_or_missing_predictions
xes3g5m,irt_1pl,fold_2/seed_2025,1591387,1591387,1284877,1284877,0,306510,0,fold_misalignment_or_missing_predictions
xes3g5m,dkt,fold_2/seed_2025,1591387,1591387,1284128,1284128,0,307259,0,fold_misalignment_or_missing_predictions
xes3g5m,simplekt,fold_2/seed_2025,1591387,1591387,1284128,1284128,0,307259,0,fold_misalignment_or_missing_predictions
xes3g5m,irt_1pl,fold_3/seed_2026,1591387,1591387,1284877,0,0,306510,1284877,fold_misalignment_or_missing_predictions
xes3g5m,dkt,fold_3/seed_2026,1591387,1591387,1284877,0,0,306510,1284877,fold_misalignment_or_missing_predictions
xes3g5m,simplekt,fold_3/seed_2026,1591387,1591387,1284877,0,0,306510,1284877,fold_misalignment_or_missing_predictions
xes3g5m,irt_1pl,fold_4/seed_2027,1591247,1591247,1285862,0,0,305385,1285862,fold_misalignment_or_missing_predictions
xes3g5m,dkt,fold_4/seed_2027,1591247,1591247,1285862,0,0,305385,1285862,fold_misalignment_or_missing_predictions
xes3g5m,simplekt,fold_4/seed_2027,1591247,1591247,1285862,0,0,305385,1285862,fold_misalignment_or_missing_predictions
