dataset,model,fold,seed,bucket,n_kcs
xes3g5m,irt_1pl,fold_0,42,dense,500
xes3g5m,irt_1pl,fold_0,42,medium,177
xes3g5m,irt_1pl,fold_0,42,sparse,127
xes3g5m,irt_1pl,fold_0,42,strict_cold_start,3
xes3g5m,irt_1pl,fold_0,42,very_sparse,41
xes3g5m,irt_1pl,fold_1,2024,dense,500
xes3g5m,irt_1pl,fold_1,2024,medium,177
xes3g5m,irt_1pl,fold_1,2024,sparse,127
xes3g5m,irt_1pl,fold_1,2024,strict_cold_start,6
xes3g5m,irt_1pl,fold_1,2024,very_sparse,45
xes3g5m,irt_1pl,fold_2,2025,dense,500
xes3g5m,irt_1pl,fold_2,2025,medium,177
xes3g5m,irt_1pl,fold_2,2025,sparse,127
xes3g5m,irt_1pl,fold_2,2025,strict_cold_start,5
xes3g5m,irt_1pl,fold_2,2025,very_sparse,39
xes3g5m,irt_1pl,fold_3,2026,dense,500
xes3g5m,irt_1pl,fold_3,2026,medium,177
xes3g5m,irt_1pl,fold_3,2026,sparse,127
xes3g5m,irt_1pl,fold_3,2026,strict_cold_start,5
xes3g5m,irt_1pl,fold_3,2026,very_sparse,39
xes3g5m,irt_1pl,fold_4,2027,dense,500
xes3g5m,irt_1pl,fold_4,2027,medium,177
xes3g5m,irt_1pl,fold_4,2027,sparse,127
xes3g5m,irt_1pl,fold_4,2027,strict_cold_start,2
xes3g5m,irt_1pl,fold_4,2027,very_sparse,50
xes3g5m,dkt,fold_0,42,dense,500
xes3g5m,dkt,fold_0,42,medium,177
xes3g5m,dkt,fold_0,42,sparse,127
xes3g5m,dkt,fold_0,42,strict_cold_start,3
xes3g5m,dkt,fold_0,42,very_sparse,41
xes3g5m,dkt,fold_1,2024,dense,500
xes3g5m,dkt,fold_1,2024,medium,177
xes3g5m,dkt,fold_1,2024,sparse,127
xes3g5m,dkt,fold_1,2024,strict_cold_start,3
xes3g5m,dkt,fold_1,2024,very_sparse,41
xes3g5m,dkt,fold_2,2025,dense,500
xes3g5m,dkt,fold_2,2025,medium,177
xes3g5m,dkt,fold_2,2025,sparse,127
xes3g5m,dkt,fold_2,2025,strict_cold_start,6
xes3g5m,dkt,fold_2,2025,very_sparse,45
xes3g5m,dkt,fold_3,2026,dense,500
xes3g5m,dkt,fold_3,2026,medium,177
xes3g5m,dkt,fold_3,2026,sparse,127
xes3g5m,dkt,fold_3,2026,strict_cold_start,5
xes3g5m,dkt,fold_3,2026,very_sparse,39
xes3g5m,dkt,fold_4,2027,dense,500
xes3g5m,dkt,fold_4,2027,medium,177
xes3g5m,dkt,fold_4,2027,sparse,127
xes3g5m,dkt,fold_4,2027,strict_cold_start,2
xes3g5m,dkt,fold_4,2027,very_sparse,50
xes3g5m,simplekt,fold_0,42,dense,500
xes3g5m,simplekt,fold_0,42,medium,177
xes3g5m,simplekt,fold_0,42,sparse,127
xes3g5m,simplekt,fold_0,42,strict_cold_start,3
xes3g5m,simplekt,fold_0,42,very_sparse,41
xes3g5m,simplekt,fold_1,2024,dense,500
xes3g5m,simplekt,fold_1,2024,medium,177
xes3g5m,simplekt,fold_1,2024,sparse,127
xes3g5m,simplekt,fold_1,2024,strict_cold_start,3
xes3g5m,simplekt,fold_1,2024,very_sparse,41
xes3g5m,simplekt,fold_2,2025,dense,500
xes3g5m,simplekt,fold_2,2025,medium,177
xes3g5m,simplekt,fold_2,2025,sparse,127
xes3g5m,simplekt,fold_2,2025,strict_cold_start,6
xes3g5m,simplekt,fold_2,2025,very_sparse,45
xes3g5m,simplekt,fold_3,2026,dense,500
xes3g5m,simplekt,fold_3,2026,medium,177
xes3g5m,simplekt,fold_3,2026,sparse,127
xes3g5m,simplekt,fold_3,2026,strict_cold_start,5
xes3g5m,simplekt,fold_3,2026,very_sparse,39
xes3g5m,simplekt,fold_4,2027,dense,500
xes3g5m,simplekt,fold_4,2027,medium,177
xes3g5m,simplekt,fold_4,2027,sparse,127
xes3g5m,simplekt,fold_4,2027,strict_cold_start,2
xes3g5m,simplekt,fold_4,2027,very_sparse,50
